logCPM	PValue	FDR	log2FoldChange
TENM2	7.38241725765844	0	0	8.4761
GFRA1	5.60384385194421	0	0	7.9306
OXTR	7.86719341354902	0	0	6.9177
COL4A4	6.20963026770784	0	0	4.5786
ALPP	8.06340831913431	0	0	4.3393
HEG1	8.5210160937448	0	0	4.2087
DIO2	9.16011617953444	1.88733076711356e-321	3.44551006031123e-318	3.8713
SERPINE1	8.7730269610156	4.68670671645006e-320	7.7782291168946e-317	3.6083
FAM101B	5.2828798182833	4.83225218137469e-299	7.35146631859803e-296	5.6095
MATN2	7.68672463577216	5.40070593777925e-286	7.58425289231524e-283	4.1178
OLR1	7.23401022025106	2.95616923801463e-278	3.85484468637108e-275	3.9621
FAM198B	5.82500719541024	5.58884379787667e-273	6.80199549160243e-270	4.3833
KRT17	7.19437430526363	4.29847400241856e-270	4.90455883675958e-267	4.9226
XAGE2	4.32721266918314	1.85748969966061e-227	1.88390733094467e-224	8.7943
COL4A3	5.1837695403568	3.5540495604228e-215	3.41488046184625e-212	4.315
PSG5	4.63329460564053	1.12140873395772e-208	1.0236218923566e-205	5.5168
PDZK1	5.2743351126342	1.32762064759121e-205	1.15414488297263e-202	4.1343
IGFN1	7.87418257246868	1.97846957102151e-196	1.50495585369036e-193	4.5167
DAPK1	8.10101553319046	1.85236267108825e-192	1.35266931693549e-189	2.8032
SCN9A	4.95739607140551	1.43059433874124e-191	1.00449731723308e-188	4.4961
CCDC80	9.9048079255059	2.07097967963472e-187	1.40028907523746e-184	3.3368
GPNMB	6.21134525585297	3.74293448678943e-186	2.44039328538671e-183	3.1461
FAT3	4.95322430296742	1.32806032825257e-180	8.08168978419295e-178	3.8694
COL5A1	7.39545951415744	3.34311274255804e-177	1.96876987832708e-174	2.5643
TMEM52B	5.09410712784391	8.75013907829271e-177	4.99195434416599e-174	4.4526
NUPR1	4.97260843200661	7.88629552731447e-175	4.3627942771713e-172	5.2767
SPOCK1	6.77008701652346	4.46786796068287e-171	2.33043992829218e-168	2.5769
IGFBP5	5.65182818507839	1.03575383459916e-164	5.25242277901173e-162	3.3132
IGFBP3	10.3252281705163	1.57249493452709e-163	7.75877500668286e-161	2.5519
ACKR3	5.86991635182303	3.34803746389731e-161	1.60846768265551e-158	2.8443
AKAP12	6.97969810524758	7.48848862507745e-159	3.41774620848535e-156	2.5415
TPM1	8.94092928190215	9.10212210881289e-152	3.86438002833693e-149	2.4166
CACNG6	5.84001157521154	7.28213059255388e-151	2.95427946883697e-148	3.75
FN1	7.80190971966793	9.24028111647129e-147	3.66718634918043e-144	2.3875
MFAP5	6.47109681230252	1.2330650591808e-145	4.68975744175098e-143	2.3779
ALPK2	3.59599134732905	3.65500546276841e-144	1.334515594566e-141	6.5491
SLC26A2	7.83744628123604	1.47758844746496e-142	5.28918719547457e-140	2.3958
DAB2	5.48287904753212	1.75381911540573e-140	6.0410795794051e-138	3.0505
DOCK11	5.73385810267374	5.70403546718333e-135	1.8933249361618e-132	2.6419
C4BPB	4.46169993348352	4.92043217758822e-132	1.57591947077282e-129	4.2711
NLRP1	3.5351720264975	7.36471491273456e-132	2.31810750770486e-129	7.6145
CNN1	3.40412367477066	1.85296666938074e-130	5.73351856207031e-128	6.7113
LOXL4	4.01705292403145	9.54513872634833e-130	2.85665659980681e-127	4.4578
GADD45A	7.559671382998	1.40041084488589e-127	4.1235323200382e-125	2.6502
PRSS23	9.68580751925831	1.88172159256092e-127	5.45281101488763e-125	2.1614
DFNA5	5.25022561069774	1.06322169196392e-125	3.03283987632709e-123	3.1207
LINC01279	4.5752736061539	4.8248171854455e-125	1.3345736748105e-122	3.3609
NNMT	3.23564769956619	2.36609568128953e-120	6.17077753680311e-118	6.7638
NEAT1	10.2681205874176	6.0534886991569e-119	1.534895690164e-116	2.0781
FYN	6.45923255736956	1.88772628213952e-118	4.72086726119713e-116	2.0937
CDH2	5.76278017225273	3.93245945115935e-118	9.70148374869798e-116	2.4529
STXBP6	5.89018655007091	6.05250826569924e-117	1.4732612119814e-114	2.2882
WWC2	7.19015912334421	2.8006148062761e-116	6.64000310433461e-114	2.119
TGFB2	8.03821541752944	5.30384876966453e-115	1.2256590270759e-112	2.2785
TENM1	5.04921361623107	2.0678614751511e-112	4.66060235683438e-110	2.5806
LRRN1	3.37515648522658	3.05869958891105e-112	6.80970971892197e-110	5.2487
CDKN2B	6.05880073943689	4.54975073233075e-110	9.88812492493216e-108	2.4194
KANK4	4.45569540304377	5.11948119992653e-107	1.08675870681231e-104	3.0375
