logCPM	PValue	FDR	log2FoldChange
DCLK1	5.52507038346923	1.32620846575099e-164	3.45875167867858e-161	2.828
FN1	7.56680717611339	1.97349977651467e-145	3.27529199273198e-142	2.1233
KISS1	4.09432503219646	9.41118694786684e-131	1.07381643075161e-127	4.0334
DCBLD2	8.78634371209092	2.67812754433294e-111	2.44459482246711e-108	1.8898
C1S	5.9821449985794	3.99251031896094e-110	3.47082230395005e-107	2.1157
HCLS1	3.14396129509493	2.9318836179732e-109	2.43293033316904e-106	5.5893
TRPC4	3.95382259515282	5.41179210063547e-99	3.95190706356804e-96	3.0712
DOCK10	6.40856470766179	1.82487595938514e-95	1.14879087981155e-92	1.8176
BIRC3	5.26376715310504	6.29624228120087e-92	3.83147330285344e-89	2.2822
MYH15	4.94863323912441	5.64442442845009e-90	3.12256401108439e-87	2.2633
PHLDB2	7.31874589841109	9.33597486506404e-81	4.6064204631516e-78	1.5556
SMURF2	7.52543300825192	3.50663277874418e-80	1.68466021075668e-77	1.4902
RPL22L1	7.35755614408196	1.99203057461114e-77	9.32474619746179e-75	1.4701
DUSP5	4.98161922726352	9.69199801401033e-76	4.21278847008982e-73	1.9156
CD74	5.67286828220944	6.6709788277294e-75	2.83221835997739e-72	1.7417
DCUN1D5	7.09864191924457	3.91200496560927e-74	1.58705694782584e-71	1.5018
OLR1	5.39976413582393	4.41446975279058e-67	1.41386947029728e-64	1.8954
SLC26A2	7.05559532972491	7.3152709850358e-67	2.26351842547142e-64	1.4251
COL13A1	3.48352951044721	8.69364318818286e-64	2.6018221318601e-61	3.715
THBD	3.61539766105494	3.87060518122849e-62	1.08710412597704e-59	2.7724
TSC22D1	7.18599312630357	6.57465466484513e-62	1.79144620240914e-59	1.3335
RAB3B	4.5226369599005	1.94707837131151e-61	5.2273327568622e-59	1.9001
SLC7A1	7.45735978775193	5.31347255075556e-61	1.40583702734194e-58	1.2867
AKAP12	6.077090737887	6.44927082569802e-56	1.54918273939399e-53	1.4274
AMOTL1	7.21403281602277	1.11658160813292e-55	2.64731348546422e-53	1.2145
CTGF	4.56478954004232	1.9308098778454e-55	4.46188166201843e-53	1.8151
GFRA1	2.38531248034238	3.44748554236191e-53	7.49253524539988e-51	4.7045
NAV3	4.65631121704899	2.26248037255965e-52	4.74756800936195e-50	1.7784
COL27A1	2.86214544217076	2.94592712828775e-51	5.97564951711346e-49	2.9892
GRPR	2.91739762930415	4.16765559191075e-51	8.27007831368724e-49	3.0305
GSTM4	4.92927771520195	2.34809112028676e-50	4.56029271191012e-48	1.6315
STC2	7.05421693141848	5.0679363448615e-50	9.63752561581162e-48	1.1906
SPARC	6.57264363205167	8.96018957595398e-49	1.65229516059208e-46	1.1652
ITGA2	7.45110936040549	4.39860313563243e-48	7.95058404397086e-46	1.1707
NAMPT	9.0801214987098	1.90490260564849e-47	3.40940215379596e-45	1.2546
COL4A1	5.4979246986215	3.66973992715383e-47	6.5043468068078e-45	1.6191
NFKB2	4.88452480195682	7.32342774220166e-47	1.2732999701108e-44	1.7543
SERPINE1	6.7181746444342	1.01252118103613e-46	1.7438289321694e-44	1.1463
PPIF	8.2293951816057	2.02783727008933e-46	3.45983151427578e-44	1.1391
SPP1	8.716771028982	4.55513123678825e-46	7.62921796869782e-44	1.358
LCP1	9.24992053138918	1.24162435153786e-45	2.04208055510586e-43	1.1048
GPR176	3.97392022219254	1.50678401379953e-45	2.45605794249323e-43	1.9895
EGFR	8.78899231328512	7.99429078727376e-45	1.26907628358669e-42	1.1569
PTX3	2.24331621768331	1.42532082881514e-44	2.24316009059046e-42	3.9296
SPG20	6.92581383563408	2.07241563438081e-43	3.15283498510467e-41	1.1688
PROSER1	6.37878201851651	1.66585408092267e-42	2.45256710494551e-40	1.2899
EPGN	3.36872291570499	6.85881295380158e-42	9.93765787973029e-40	2.1376
COL6A2	5.11123081381874	7.9986190452009e-42	1.14080304132178e-39	1.3777
