logCPM	PValue	FDR	log2FoldChange
PLA2G16	6.65744747545973	2.71136607238997e-42	3.95989592140411e-40	-1.0856
PDE1C	1.62590546267691	7.24996669048523e-42	1.04216844016928e-39	-7.1876
TSPAN13	5.22666108889069	2.27232299563621e-41	3.16668157315532e-39	-1.3124
TMPRSS4	3.29188953083535	2.52031442222672e-41	3.48567121910386e-39	-2.2746
KRT7	10.1606944361903	5.11590312233086e-41	6.96984532845315e-39	-1.0754
RBP1	2.1991064331751	8.73995351544713e-41	1.16718873457947e-38	-4.0827
CIPC	5.64826328180902	8.75903027154842e-41	1.16718873457947e-38	-1.3579
EPHA4	2.99178392366819	1.02427166545835e-40	1.35500750178317e-38	-2.5398
EIF5	8.81236392552795	2.61388536161056e-40	3.40850651154017e-38	-1.0765
ABCD4	4.82299109660674	6.30976029468641e-40	8.16957332906348e-38	-1.4067
TACSTD2	8.13648644358802	1.58359456426073e-39	2.0359227017707e-37	-1.0303
IGFBP6	6.89641299404489	2.29803172192825e-39	2.93376693115539e-37	-1.0569
GPATCH2L	6.29002094112979	3.21175134632396e-39	4.07178698461737e-37	-1.0687
ANXA8L1	6.14355199656844	6.31371816370588e-39	7.94918888252514e-37	-1.1181
NTN4	4.95650793726281	7.84778201762217e-39	9.81295263792537e-37	-1.3568
KRT17	2.37044922435142	1.06527680257109e-38	1.32297233385972e-36	-4.1985
SUMF1	4.75040540838537	1.35668577171805e-38	1.67349023300573e-36	-1.4397
ANGEL1	4.80395715881754	1.4684776546349e-38	1.79923007134328e-36	-1.3266
PDE2A	2.63546000146844	3.71382556064054e-38	4.51997329567025e-36	-2.8029
CKB	3.66622071635442	4.53313989623361e-38	5.48059615534045e-36	-2.0462
MGP	4.58827648386367	1.45191947316331e-37	1.73243411124637e-35	-1.3863
SLIRP	7.96076592176435	3.09799654165093e-37	3.67253408210256e-35	-1.135
TMED8	6.62576833941129	3.8138305692524e-37	4.46315967129947e-35	-1.0574
MLH3	5.09904696206434	4.329056234475e-37	5.02029344211219e-35	-1.3179
CDKN2C	3.85771232076169	4.96453642186115e-37	5.70016207028284e-35	-1.7081
LBH	4.53160581002221	1.91794437837227e-36	2.17478214730212e-34	-1.7282
XRCC3	5.18142662760937	4.17234004404855e-36	4.64452681976527e-34	-1.5832
CAMK2N1	5.50595021301674	6.20162448312752e-36	6.861627670544e-34	-1.2056
ACYP1	4.79629739531894	1.45926304262955e-35	1.58573250632411e-33	-1.2769
FHOD3	3.98634642142845	2.04396874828523e-35	2.19498196874678e-33	-1.812
PCSK9	6.04004426211592	5.32127992106146e-35	5.64798175807546e-33	-1.0792
ESPN	2.49516073316121	1.11447696185201e-34	1.16930410434312e-32	-2.8285
SLC9A3R2	5.1065330485396	1.29287631303597e-34	1.34872856975912e-32	-1.1798
TMTC1	2.3429894979834	1.49914715346286e-34	1.55502445645557e-32	-3.0431
SEMA3B	4.06158577336976	1.96649302432384e-34	2.01687059843011e-32	-1.6164
C2orf54	4.82238727814044	2.1945961739627e-34	2.22580820843684e-32	-1.2958
AHSA1	8.75999011183471	2.27767639901142e-34	2.29730720112445e-32	-1.0919
CAPG	6.6386888517949	3.73842895881499e-34	3.70917168870253e-32	-1.0548
BHLHE40	5.51136423000694	6.47149016383004e-34	6.31783553106317e-32	-1.122
STAC	4.44947391907395	9.34314961004633e-34	9.02479043814846e-32	-1.3807
FLNC	6.91622619235591	1.14471643088093e-33	1.09989174537696e-31	-0.9364
FAM133A	2.40380387985233	6.20944554345093e-33	5.81331476108924e-31	-2.8018
SPOCK1	4.46357259255053	7.88005637939684e-33	7.3397096562382e-31	-1.3329
ADGRF5	5.16872444927393	3.29383708611851e-32	2.99165621115321e-30	-1.1447
CHRDL1	4.72329913656872	7.82912975953598e-32	7.00630357304357e-30	-1.2813
Mar-01_1	5.93337218760265	1.41427075383803e-31	1.25334596514889e-29	-0.9882
EFNB2	5.89761655778531	2.33228246837252e-31	2.037231997254e-29	-1.015
DOCK3	4.28193925488439	3.5505686723063e-31	3.07199913183051e-29	-1.4031
PLAC8	4.42068861023398	4.38956127758191e-31	3.77999201337431e-29	-1.3289
ISCA2	5.43391463061141	5.17374467552114e-31	4.43436069466262e-29	-1.2101
AREL1	6.41156117811534	9.39726192199385e-31	7.90582551372902e-29	-1.046
TRAF3	5.85049934735445	9.7700353609874e-31	8.18173236468743e-29	-1.1282
CAPS	2.59875535645812	1.22408422785643e-30	1.02040555542224e-28	-2.4111
CYP1B1	4.97743324263889	1.76766159255139e-30	1.46683772880083e-28	-1.1884
GSN	5.29449359430704	2.04283667986733e-30	1.68751250803882e-28	-1.0863
PITPNM3	4.39791794073025	4.05006622657846e-30	3.28613373477406e-28	-1.3455
FOXJ1	3.32372640962459	5.15236095012678e-30	4.16201334095197e-28	-2.257
PCSK5	2.40649061404881	5.49089633805394e-30	4.41593848226928e-28	-2.6874
NADK2	5.63025022821571	5.78772639224732e-30	4.63424267617838e-28	-1.0675
NEBL	3.39946141810469	5.95744073730028e-30	4.74930297380585e-28	-1.8395
SMARCA2	4.69590713438407	7.30350727317393e-30	5.77198392982958e-28	-1.2375
KRT80	7.05377823357492	7.70499771547724e-30	6.0630361333514e-28	-0.8743
FAM210B	4.02821962399832	8.33241520995486e-30	6.52860824347365e-28	-1.4323
JDP2	6.1510975958586	9.86717595307262e-30	7.69808394014076e-28	-0.9408
SPEF2	2.49938349062337	1.17210314483117e-29	9.10549574980332e-28	-2.474
PODXL	7.39082447788172	1.32064565688221e-29	1.01728721991737e-27	-0.8869
HMGN5	3.58345016527801	1.81084289995639e-29	1.38902302443713e-27	-2.1413
ALDH6A1	4.4301571634819	2.32822615963187e-29	1.77841409080499e-27	-1.4863
H1FX	6.53724759803539	2.61513349076547e-29	1.98924487530894e-27	-0.8984
FBXO4	4.18335732927591	4.01272449348098e-29	3.02711976665243e-27	-1.7563
SMEK3P	1.12947375933168	4.89346233377969e-29	3.67633943890872e-27	-9.0731
PTGER4	4.52941191368424	8.2991745119508e-29	6.1840706077622e-27	-1.2033
PKIB	2.46430088400357	1.14414778561344e-28	8.49087885128415e-27	-2.4742
MOK	5.25577416331059	1.16216993761595e-28	8.56354637296646e-27	-1.0451
UBXN11	3.85548817059695	1.41822696602825e-28	1.03980528079565e-26	-1.4749
HIST1H1C	3.6616398730507	1.623326134409e-28	1.18541767639082e-26	-1.5786
FAM105A	2.54473717715209	2.35831178129702e-28	1.70846586822851e-26	-2.3767
PROM2	6.08104745504662	3.97055181871708e-28	2.85379503946847e-26	-0.924
CLDN1	4.51551842990296	4.0587423985306e-28	2.90574122461077e-26	-1.293
PMEPA1	8.39411948036723	4.36946464860928e-28	3.1159744775395e-26	-0.8388
RAMP1	4.79763102625438	8.73353810944429e-28	6.1559641593056e-26	-1.5021
COL18A1	6.32660481019232	1.12351856521925e-27	7.85860342016958e-26	-0.9351
FYB	2.50231646461578	3.62539360171011e-27	2.50701460578863e-25	-2.3536
UBXN10	3.23223966929768	4.2236861279128e-27	2.90972128117645e-25	-1.9902
MLLT3	3.61333943963871	5.95501964738509e-27	4.0870240106264e-25	-1.7553
LOXL1	3.87501779170831	8.12435187705725e-27	5.55498756058266e-25	-1.4624
TRIB2	3.9946626665925	1.27079680752093e-26	8.56076255280517e-25	-1.3582
PADI1	3.96040243680444	1.33193397056227e-26	8.90688152622153e-25	-1.3889
LRRFIP2	5.54863635708133	2.34348575979471e-26	1.55573367384771e-24	-0.9548
CST6	4.11699549984867	3.69398403798023e-26	2.43456218763058e-24	-1.3173
GCNT1	3.7498348647991	4.89615401534161e-26	3.20373432631098e-24	-1.4431
LTBP1	3.43121899884134	5.94474965766481e-26	3.87597677679746e-24	-1.8334
RNPEPL1	5.19080203469005	7.46348462810972e-26	4.81460690356082e-24	-1.0431
IL18	4.58199862426195	8.85138488382183e-26	5.68981980419195e-24	-1.1742
SNW1	7.43206211657083	1.28805633608728e-25	8.19329493784298e-24	-0.9887
AOC1	1.4327129024892	1.61243695124955e-25	1.01505686144868e-23	-4.3684
HSPG2	5.98642434738176	1.67010528648626e-25	1.04774715154959e-23	-1.027
TK2	3.66278589836323	2.44562285563867e-25	1.51346748652676e-23	-1.4682
MARCKS	7.83698316772616	2.54742669752565e-25	1.5711426280415e-23	-0.836
YLPM1	7.59419456350201	4.60067490799118e-25	2.79036282791651e-23	-0.8302
NR1D2	6.67692315160628	4.70853424816086e-25	2.84632454418625e-23	-0.8332
