logCPM	PValue	FDR	log2FoldChange
CEACAM6	7.89604982506478	0	0	-15.9584
GDA	6.60407582626907	0	0	-6.1812
KRT13	7.72757908446982	0	0	-4.3044
TGM2	8.24015268839813	6.7612197569646e-254	7.26075458136151e-251	-3.2506
S100P	5.72926455423884	3.48656298253973e-204	2.89321335496569e-201	-4.5907
SYK	4.30591043363928	1.23382058974258e-198	9.79331682014805e-196	-9.08
HSP90AA1	12.3251918960668	5.43517845026416e-181	3.42153854441457e-178	-2.9756
C3	4.80800875441821	1.33835994356712e-172	7.18620562640037e-170	-3.9369
ANO1	6.51799199084446	2.26456335166358e-159	1.06004791148642e-156	-2.4836
PEG10	4.89970637128553	6.00734839110826e-158	2.6748817616603e-155	-3.791
S100A4	6.02227368191465	4.33111159990833e-154	1.88258984209349e-151	-3.8458
TSPAN1	4.84579952833765	1.33371447500252e-151	5.53370260355592e-149	-4.0069
KRT6A	5.6905825263298	5.21869403812289e-146	2.02707400765897e-143	-3.4616
ZSCAN18	4.05841986273952	2.13762295207668e-144	7.96417237002284e-142	-4.989
COL17A1	4.56772280633477	5.41996259584568e-142	1.90282379134151e-139	-3.8368
KYNU	4.82233209140959	5.71268783289944e-138	1.93131164958171e-135	-3.3063
ETV4	5.16761630295265	9.73714955074038e-134	3.17431075354136e-131	-2.99
TNFAIP2	6.66991099118356	4.98885992076216e-130	1.51794377855723e-127	-2.5007
FAM83A	4.5422871004045	1.42423761967754e-125	4.00013568997433e-123	-3.4345
TRIB2	3.59058500941067	5.69362872363465e-125	1.55138635789066e-122	-5.765
DUSP4	6.6532347177307	2.34561433516915e-124	6.29728460336001e-122	-2.137
CALB2	6.31367377479404	4.93330090091287e-121	1.30525132242124e-118	-2.2949
EMP1	8.50477084310054	6.22919200078399e-120	1.60169196008891e-117	-2.2016
ETV5	5.13113114113817	1.78765197347274e-116	4.29412821417348e-114	-2.6239
ELFN2	5.40967275305773	7.37115244497176e-116	1.72522767994108e-113	-2.6506
ITGA6	8.57051759057569	1.39581639046404e-112	3.18525300303893e-110	-2.0435
PPP2R5C	7.92141525592769	4.00151328947828e-110	8.8014007967127e-108	-1.9478
NPC2	7.90422988728924	1.95732118432334e-107	4.20386535776552e-105	-1.9406
NT5E	6.01623585904574	6.25322314829682e-104	1.26843157550341e-101	-2.2738
SOX7	3.92971622420407	7.72516751077389e-103	1.51645868899665e-100	-3.8888
SOX9	5.00823085169454	3.87137130673907e-102	7.4395531132451e-100	-2.4972
TRMT61A	4.50553420166432	5.671334048369e-101	1.04581691300025e-98	-3.0922
LY6D	5.59286732650986	5.91378723487659e-98	1.05845195843046e-95	-2.3857
PCDH1	5.58931961338106	6.20089465769227e-98	1.09906342593039e-95	-2.1993
EIF5	8.63235279401581	4.63272030670103e-97	7.97876810557867e-95	-1.8062
BAG5	6.77598027687013	1.01592399531601e-96	1.73333723911112e-94	-1.8445
EFHD2	7.0593144973698	5.18292033387365e-94	8.37339766506171e-92	-1.8244
AHSA1	8.56867398565421	3.11270369554489e-89	4.4394936457709e-87	-1.8829
MARK3	6.67296653243158	4.00877184885222e-89	5.67318905989505e-87	-1.8148
RPL22L1	5.7960671864128	4.89979689079518e-88	6.88082246448899e-86	-2.001
XRCC3	5.00755944811536	4.01219966955541e-86	5.34647570564989e-84	-2.6029
PHLDA1	6.27311831789522	3.96749513822668e-85	5.21083390240764e-83	-1.8663
S100A6	7.91221415806725	1.86444676746393e-84	2.43123858477297e-82	-1.865
IGFBP2	5.2693475074105	1.95262146019836e-84	2.52816009768662e-82	-2.153
APOPT1	5.86237991198627	4.56179273062475e-82	5.78333945071427e-80	-1.9598
HPDL	2.82823169364298	5.534306228163e-80	6.73561963342292e-78	-6.0678
BARX2	4.29223558976844	1.6903467507118e-79	2.01692616215651e-77	-2.727
ADORA2B	4.57609488021439	8.02924279637776e-79	9.51830236952418e-77	-2.3799
CDC42BPB	7.22216811653684	1.29084637040157e-78	1.51062123961866e-76	-1.7143
SAPCD2	6.27092063729444	1.94872741229021e-78	2.26598519992166e-76	-1.7235
MOK	5.01030509765287	7.9546145723618e-78	8.96416318722451e-76	-2.1121
SLIRP	7.8289623372071	8.30233671901535e-77	9.13056982785207e-75	-1.6803
WDR20	5.50062883548339	1.15835648826874e-76	1.26628479340324e-74	-2.0317
CAPN8	3.54250949317853	3.17716275671815e-75	3.41189901686157e-73	-3.358
HMGA2	5.60676130693556	4.67082024370172e-75	4.98657861807127e-73	-2.1577
F2RL1	4.82165168812099	5.78396498016216e-75	6.13907352778142e-73	-2.1961
FAM129B	7.4885172016569	4.19287121531856e-74	4.37400325182033e-72	-1.8433
JAG1	4.7575812868533	1.97288044774355e-73	2.03485341548058e-71	-2.1352
FBP1	3.60114441324893	4.16823700461012e-73	4.27501880652597e-71	-3.6471
DUSP6	2.90308095172073	7.67946905197075e-73	7.78868816737656e-71	-5.0337
AKR1B10	7.35898340435228	9.57210151159216e-73	9.65460139202356e-71	-1.5363
KLC1	6.40810944350076	3.67113445885634e-72	3.64240384135225e-70	-1.6703
MPZL2	5.37250886777816	7.77738463889124e-70	7.47283862987361e-68	-2.1669
EIF2B2	6.06798363791512	8.65778801045126e-70	8.275213503602e-68	-1.6561
CARD10	5.58638278207198	9.51087258426873e-67	8.51129852443186e-65	-1.7162
EFNB2	5.72152366755657	2.3883219433891e-66	2.11656336885978e-64	-1.715
AGR2	3.50236862738737	6.06263579979571e-66	5.3211288058207e-64	-3.0583
FOXJ1	3.1272764806198	7.16198482897165e-66	6.25594234630174e-64	-4.9878
DYNC1H1	9.63019040687961	8.09528188316071e-66	7.03749838376104e-64	-1.6541
CRIP1	5.7197002773663	1.3293865586295e-64	1.12357782473797e-62	-1.8466
MBNL3	5.30115051532544	1.75082796947623e-64	1.47295462722388e-62	-1.8055
SLCO4A1	3.40196838484132	7.41242426986247e-64	6.12313201224476e-62	-3.0767
B3GNT3	5.25460469415939	1.14855337720336e-63	9.4026863023428e-62	-1.8016
HPCAL1	5.31085662004778	1.45287777595011e-63	1.18409538739934e-61	-1.7634
SOX13	4.95055986664993	2.9863658867235e-63	2.4017222743623e-61	-1.9162
VIM	3.15927076172106	6.61788463944324e-63	5.29895184112613e-61	-3.4942
MYH16	3.70823181720058	2.57443571800497e-62	2.04343036816951e-60	-3.1256
TMA7	7.19996649102669	5.02064860237961e-62	3.95073107263113e-60	-1.4535
ANPEP	6.50959927104316	1.96551928505808e-61	1.52691574757533e-59	-1.4831
CCND3	5.40213805646211	2.16411273425831e-61	1.67406957951778e-59	-1.8061
PDE2A	2.5148507814703	9.89364475904923e-61	7.55725433979928e-59	-5.0177
SLC16A3	7.10822357057374	1.89903183496206e-60	1.43259194954824e-58	-1.692
PVRL3	2.98868127725682	3.86098521573684e-60	2.88877647944638e-58	-3.6152
Mar-01_1	5.79388791912051	3.90393325511002e-60	2.9089879798077e-58	-1.5274
CMSS1	6.02055018910422	5.39343316147757e-59	3.90724269031486e-57	-1.8383
TWF2	5.25941766561165	2.04975844077104e-58	1.4560463071874e-56	-1.7068
CEACAM5	2.11598642864583	3.43265728341885e-58	2.42893764984862e-56	-10.0795
TTLL12	6.74724912489059	3.54868812678882e-58	2.49172501702526e-56	-1.3993
ALDH3A1	8.81728046826854	1.0686065459292e-57	7.44598515361963e-56	-1.3712
SPRY4	2.58309667726539	2.41254889423787e-57	1.66831411413662e-55	-4.8125
ZFYVE21	5.35677090095794	1.57755216344927e-55	1.07461911551977e-53	-1.6501
RCOR1	6.37442283595569	1.48719177456232e-53	9.69649037014633e-52	-1.4895
DCAF8L2	2.14682333942243	3.67307928526991e-53	2.37786295857757e-51	-7.7207
PLAU	5.07782145557323	3.98738384163798e-53	2.57221482024533e-51	-1.7315
MAP2K3	5.30954726384597	2.20173584994739e-52	1.39565589154998e-50	-1.7265
ADGRE5	5.31713628832345	8.54377384254946e-52	5.32338345629976e-50	-1.5646
SLFN5	2.66333261393901	1.32655726021175e-51	8.20936587878837e-50	-3.866
NMB	5.16221681996117	1.65568049195734e-51	1.02115213044504e-49	-1.6164
S100A2	5.76836830535144	2.95930864028163e-51	1.80083795123272e-49	-1.778
FAM195A	4.25190468030994	3.81043255409751e-51	2.31107165141542e-49	-2.0943
NUDT4	5.24774413518828	1.05381596739363e-50	6.2462546430968e-49	-1.5925
BOP1	5.34694837194469	1.99562155298505e-50	1.17522797004178e-48	-1.7245
MAPK13	6.16142642935364	5.8238718084954e-50	3.39682440050773e-48	-1.3344
SULF2	8.35013583797612	7.96571175033978e-50	4.61657249886359e-48	-1.4592
CKB	3.58943571607021	9.04188127774568e-50	5.2072108708683e-48	-2.6432
PODXL	7.29203246294748	2.32699369363476e-49	1.32754990221863e-47	-1.2459
IL4R	5.59854361481765	5.10938352249476e-49	2.89679831014486e-47	-1.5342
MAPKAPK3	5.90167268449516	5.33738050660412e-49	3.01491735570044e-47	-1.3523
PLAT	3.79845007790631	5.35075166108098e-49	3.01491735570044e-47	-2.2242
STC2	5.84529923010598	1.23482427366972e-48	6.87285120125437e-47	-1.3511
SH3RF3	2.89959460395348	3.46653550506949e-48	1.91193571542443e-46	-3.0623
AGPAT9	5.02677114457014	9.3398220899391e-48	5.08978483802771e-46	-1.5366
FAM43A	3.41005918234279	3.21496707671801e-47	1.73134038208154e-45	-2.8035
MRPL41	5.74737703451024	3.36324534158711e-47	1.80586491047101e-45	-1.4845
TPRN	4.28676705177287	1.52690870186244e-46	8.10326897127927e-45	-1.8927
RRP9	4.27893231009145	1.6138163198343e-46	8.53966108257824e-45	-1.9339
FXYD3	5.34432707429327	2.7378109644264e-46	1.43213401050339e-44	-1.5082
STMN3	3.78082213644551	2.91476971747859e-46	1.51601242057804e-44	-2.2123
FAM133A	2.32298532856208	9.52777622660178e-46	4.87224321548577e-44	-4.0235
H2AFX	6.33936443458137	2.27100910458243e-45	1.14846377322041e-43	-1.3934
LMNA	8.32174161505162	3.56816597457348e-45	1.79945961413849e-43	-1.2273
PDE4D	3.32185561697393	9.00697011886767e-45	4.50496565726159e-43	-2.5929
CRABP2	6.37919531549429	9.21535224873834e-45	4.59659755882424e-43	-1.6271
SPNS2	3.90667403606652	1.11151673340872e-44	5.51408953399715e-43	-2.027
ANKRD9	4.62608800646839	1.44901769396337e-44	7.16890705176026e-43	-1.8761
HSPE1	7.56325704410878	1.59104599481768e-44	7.85030694091664e-43	-1.2825
ITGA2	6.26620810797298	2.90177742236157e-44	1.42023722848882e-42	-1.3064
TOX2	2.61341640178511	4.14912140534584e-44	2.00918727787781e-42	-3.3239
GNL3	6.93398394463364	4.34267418166317e-44	2.09735078995881e-42	-1.2804
TRMT10C	5.68929070186145	7.90883294924104e-44	3.79956985056169e-42	-1.3655
DCBLD2	7.08065242377514	1.02853863505523e-43	4.92834680356124e-42	-1.2482
TIMP4	3.30144407796001	1.30305003769791e-43	6.2273511749249e-42	-2.4296
C1orf61	1.88831531860918	1.44303349073689e-43	6.87833404879704e-42	-6.0404
SNCG	3.98334245296557	1.83969402193327e-43	8.7234945621854e-42	-2.0677
EBNA1BP2	7.76757465058163	4.52883051719562e-43	2.10377429826777e-41	-1.3517
HSPH1	8.03052889954135	5.6150178807574e-43	2.5951333273698e-41	-1.1615
CYSRT1	3.15109350089544	7.13395129842593e-43	3.28882360868848e-41	-2.5215
NRARP	3.89682998435474	9.73102715377067e-43	4.46355858591049e-41	-1.9683
MILR1	2.85423111098453	1.53856588549421e-42	7.02201470139557e-41	-2.9466
C2orf54	4.76600262802159	3.03632379875704e-42	1.37546221513917e-40	-1.5755
TRAF3	5.785973760496	6.49718284851068e-42	2.9287054341336e-40	-1.4065
SSNA1	5.52845606411359	8.10126734034727e-42	3.63382645123783e-40	-1.477
PPARG	5.19629411835197	1.08502252317133e-41	4.84307363887919e-40	-1.3885
DLST	7.0265866063266	1.16282516814546e-41	5.17769177308867e-40	-1.1538
SPANXB1	3.95317848355664	1.38244761040473e-41	6.14062374100941e-40	-2.0877
SLC37A2	3.6762117210616	1.97836988085431e-41	8.76629139438747e-40	-2.0598
ARPC5L	6.58821005159261	3.21655083094162e-41	1.42182450289758e-39	-1.2209
EFNB1	4.89716379201213	4.4926240066162e-41	1.97632153891049e-39	-1.6355
TM4SF1	6.24957046979169	4.73119035461842e-41	2.07626469023831e-39	-1.2151
ACSL5	4.11258124018382	6.17148852518684e-41	2.69537546688543e-39	-1.9942
