Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04820	Cytoskeleton in muscle cells	Cell motility	87/1625	3.17099367894418e-11	2.10915826700177e-11	1286/1285/1289/7168/2335/7139/2200/10398/85301/7057/9124/1292/7059/3339/7134/4628/3685/2274/4811/22989/7273/1277/27063/6711/1466/3676/29767/84665/1284/8082/114793/5318/84033/23224/6443/1287/287/29766/288/2318/1291/1824/57159/7138/127294/7058/79784/3688/10529/6709/272/633/83660/58529/2199/9672/2192/1301/81624/3696/1288/477/8736/23002/7094/7171/480/7137/23345/6712/84675/8572/3728/7135/6385/3694/832/1829/9260/11155/8910/752/7791/7169/3690/830/23353	87
hsa05205	Proteoglycans in cancer	Cancer: overview	78/1625	9.64620445840779e-11	6.41608717599664e-11	2335/7042/2260/2247/22808/7057/7481/5582/3339/6655/7474/4233/3685/3709/3480/2549/80326/1277/6608/595/286/27250/5293/4659/287/5578/288/51196/2065/836/6654/5567/10855/7475/10818/817/7078/8322/6774/3688/22800/6093/5962/857/2017/3845/3091/5058/2535/5335/2064/2066/355/6237/5500/673/7291/4893/10000/1956/6385/5595/9475/1975/4478/54361/5336/54776/81029/2316/7480/8826/5781/998/3690/5290/815/406991	78
hsa04510	Focal adhesion	Cellular community - eukaryotes	76/1625	4.43610182080963e-10	2.95063370537452e-10	1286/1285/2335/2534/10398/7057/1292/7059/3371/5582/56034/3915/5159/6655/4638/4233/5923/3685/1793/3480/80310/1277/595/3676/1284/5293/1287/4659/5578/1291/6654/87/55742/394/2932/7058/3688/6093/329/857/8394/83660/25759/53358/5058/5602/2064/3696/1288/10627/5500/7094/673/7423/3912/81/10000/5908/1956/5062/5595/3694/9475/5906/3911/7791/10319/54776/2909/2316/5599/998/3690/5290/3914/7450	76
hsa04010	MAPK signaling pathway	Signal transduction	98/1625	3.13742631569448e-09	2.08683123362745e-09	59285/1647/7042/2260/2247/10125/59283/55970/22808/9693/5582/56034/5159/6655/4233/27330/5923/23162/3480/55799/80310/781/4616/2668/1843/8911/27092/1436/80824/4909/5578/5494/1386/2065/836/6654/5567/1845/8491/7046/57551/4803/4208/22800/7786/6885/4137/6197/4293/408/4763/2250/3845/7010/5058/4791/5602/2064/2066/355/6237/7189/5970/673/2263/7423/5971/4772/5495/4893/1943/10000/5908/1956/5062/627/1850/5595/5906/8817/10746/5321/9252/784/8912/3925/6789/6196/8649/1946/1326/2316/5599/998/27006/5871/9064/1942	98
hsa04140	Autophagy - animal	Transport and catabolism	64/1625	7.75279668456905e-09	5.15670382070497e-09	1612/22808/10133/23710/8887/3480/22863/4077/53349/440738/285973/9706/55062/10325/27072/3920/5293/8417/5567/23604/9821/23001/5588/5563/7405/22800/58476/8408/6885/57724/5289/3845/3091/203228/84938/5602/57448/8878/8678/6237/7189/8660/4893/58528/26100/10000/83452/89849/51100/8897/23130/5595/81631/10241/55102/81671/8837/5599/5562/140775/3476/5290/9776/29982	64
hsa01521	EGFR tyrosine kinase inhibitor resistance	Drug resistance: antineoplastic	37/1625	9.74343281622435e-08	6.48075775419347e-08	2247/5582/56034/5159/6655/4233/3716/3084/3480/2549/80310/558/2621/5293/5578/2065/6654/2932/3569/6774/4763/3845/25759/53358/10018/5335/2064/673/2263/4893/10000/1956/5595/5336/2309/5290/3717	37
hsa04933	AGE-RAGE signaling pathway in diabetic complications	Endocrine and metabolic disease	43/1625	1.00788252485924e-07	6.70384105016981e-08	1286/5054/1285/2335/7042/3383/7056/1277/595/1284/5293/1287/5578/51196/836/1027/3569/6776/7046/6774/113026/3845/5335/5602/1288/5292/5970/5332/6777/7423/6772/4772/4846/4893/10000/5590/5595/5336/5599/998/5290/3717/4089	43
hsa04360	Axon guidance	Development and regeneration	65/1625	1.00822331431991e-07	6.70610778098366e-08	2534/9723/10398/1949/659/3983/10512/7220/4756/59277/7474/4233/2048/2770/7223/8482/6608/55740/22885/5293/223117/5578/3985/2932/85464/9353/817/6091/64218/3688/6093/54434/10500/91653/2043/3845/5058/4776/5335/10627/6237/4893/1943/5590/9860/5062/10505/5595/9475/658/54361/23380/5336/1946/81029/4690/10371/5781/998/1072/5290/5365/815/1942/57715	65
hsa04014	Ras signaling pathway	Signal transduction	78/1625	1.23563709102888e-07	8.2187303079877e-08	2260/2247/2114/10125/55970/22808/9846/9462/5582/56034/5159/6655/4233/5923/3480/2549/80310/1436/2788/5293/4909/5578/51196/23179/6654/5567/5869/5966/5337/2786/4803/22800/27/2793/4763/54331/2250/3845/25759/7010/53358/4303/5058/10928/5335/5602/6237/22821/5970/2263/7423/57148/4893/8036/1943/10000/5908/5898/1956/5062/627/5595/5906/8817/5321/10681/5336/6789/10156/1946/55770/5599/5781/998/27006/5290/5338/1942	78
hsa04520	Adherens junction	Cellular community - eukaryotes	40/1625	1.79934110956508e-07	1.196815749459e-07	57493/2534/83439/2260/10398/5797/4233/999/3480/6591/8936/64750/87/5787/1387/7046/2241/4008/6093/6885/9411/2064/1500/5795/10627/7082/7525/8976/2033/81/5908/1956/5595/9475/5906/889/55698/8826/998/4089	40
