Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04919	Thyroid hormone signaling pathway	Endocrine system	46/1625	1.71898757290037e-06	1.14336930859582e-06	1734/5582/3685/595/5293/4853/5578/51196/10231/10499/5208/8648/5567/2932/1387/489/8202/23389/113026/3845/3091/9968/1827/5469/5335/477/9440/116931/9969/5332/6772/9611/4893/480/2033/10000/5595/5211/7068/54361/487/5336/3690/9282/25942/5290	46
hsa05223	Non-small cell lung cancer	Cancer: specific types	32/1625	2.96019582528014e-06	1.96894794785987e-06	1647/5582/6655/4233/4616/595/5293/5578/6654/1021/6776/6774/27436/3845/5335/2064/51426/1029/5915/6777/673/4893/3718/10000/1956/5595/3799/5336/6789/2309/5290/5925	32
hsa04012	ErbB signaling pathway	Signal transduction	35/1625	6.54348432564311e-06	4.35234045153379e-06	5582/6655/3084/2549/5293/5578/2065/6654/2932/1027/6776/817/27/3845/868/25759/53358/5058/5335/5602/2064/2066/6777/673/4893/10000/1956/5062/5595/5336/4690/5599/5290/815/685	35
hsa04148	Efferocytosis	Transport and catabolism	53/1625	8.72722347811224e-06	5.80483514333629e-06	6446/100133941/7057/196527/4035/3685/5627/1793/8754/558/102/2621/5743/80824/246/27072/6566/4240/836/384/6868/5869/817/489/1901/286046/3988/405/55754/3091/51454/161291/4776/1385/23411/140885/24145/4772/5732/948/9392/23200/1850/5595/1788/389668/487/5781/3690/5467/23250/3717/815	53
hsa04068	FoxO signaling pathway	Signal transduction	47/1625	8.72722347811224e-06	5.80483514333629e-06	1647/7042/1030/6446/6655/23710/3480/80854/4616/10769/595/5293/5934/9455/6654/1027/3569/901/1387/7046/5563/6774/1901/3845/10018/4303/5896/5565/23411/5602/114907/8660/673/26260/4893/2033/6502/10000/1956/5595/51422/6789/2309/5599/5562/5290/4089	47
hsa04814	Motor proteins	Cell motility	62/1625	1.43513161822069e-05	9.54565042782945e-06	7168/7139/10398/84617/79659/7846/4644/7134/4628/140469/22989/8701/4430/63971/4647/4637/4646/7138/1767/84376/4641/55860/79784/22920/147700/10121/26153/51164/4648/23095/1781/27175/10627/4643/11127/3833/7171/10382/10540/7137/57519/347733/89953/80022/83544/23026/7135/3797/1783/3799/4642/832/4645/51175/1639/4649/3796/113457/57576/10120/7169/830	62
hsa05225	Hepatocellular carcinoma	Cancer: specific types	55/1625	2.18246131985056e-05	1.45164475279152e-05	1647/7042/83439/7481/5582/6655/7474/4233/3480/2549/4616/80326/595/2948/5293/5578/6654/7475/1021/2932/7046/8322/196528/324/4259/6604/3845/4040/25759/53358/2950/2535/5335/6601/51426/1029/673/57492/4893/10000/1956/2941/10023/5595/114112/7296/4780/54361/5336/81029/8289/7480/5290/5925/4089	55
hsa04151	PI3K-Akt signaling pathway	Signal transduction	98/1625	2.84367959586188e-05	1.89144821326587e-05	1286/1285/2335/2260/2247/6446/55970/7057/1292/7059/3371/56034/3915/5159/6655/4233/3716/3685/3480/80310/2668/64764/5523/1277/595/3676/2997/1284/1436/2788/5293/5934/4909/1287/5578/1291/1386/2065/3455/6654/1021/2932/1027/3569/2786/9586/7058/5563/118788/3454/5586/4803/3688/2793/54331/2250/3845/7010/10018/1385/5529/2064/3696/2066/1288/90993/23035/5970/2263/7423/3912/4846/4893/3718/1943/10000/1956/627/5595/3694/9223/1975/8817/10681/3911/1946/10319/2309/9180/27006/3690/4515/5562/5290/3717/1942/3914/7450	98
hsa04810	Regulation of actin cytoskeleton	Cell motility	69/1625	2.954461918239e-05	1.96513409054494e-05	2335/2260/2247/10398/55970/22808/56034/3684/5159/6655/4638/4628/3685/1793/80310/653857/3676/55740/8936/5293/4659/6654/3985/87/85464/79784/324/3688/22800/6093/54434/5962/8394/10672/2250/3845/3687/5058/200576/81624/3696/10627/6237/10096/5500/673/2263/4893/8976/81/10000/1956/5062/5595/3694/9475/8817/727/85477/4478/10787/54776/2909/8826/998/1072/27006/3690/5290	69
hsa04137	Mitophagy - animal	Transport and catabolism	37/1625	0.000120176542843553	7.99343595420126e-05	10370/22808/10133/23710/8887/65018/4077/665/440738/285973/64750/79735/5869/22800/8408/4286/3845/3091/64786/5602/8878/10075/9101/8678/27342/6237/5970/4893/84749/267/23786/81631/345778/10241/25820/2309/5599	37
hsa04926	Relaxin signaling pathway	Endocrine system	43/1625	0.000137231569903151	9.12783592338275e-05	1286/1285/2775/55970/6655/2770/64764/1277/115/1284/2788/5293/1287/5578/1386/6654/5567/7046/2786/9586/2793/408/54331/3845/25759/53358/1385/2778/5602/1288/90993/5970/5332/7423/4846/4893/10000/1956/5590/5595/10681/5599/5290	43
hsa04935	Growth hormone synthesis, secretion and action	Endocrine system	41/1625	0.000137231569903151	9.12783592338275e-05	3486/5582/6655/2770/2776/3709/64764/115/5293/5578/1386/6654/5567/2932/6776/1387/9586/6774/3726/3845/8651/25759/53358/1385/2778/5335/5602/90993/5332/6777/8660/6772/4893/2033/10000/5595/55811/5336/5599/5290/3717	41
hsa04015	Rap1 signaling pathway	Signal transduction	62/1625	0.000147905420679134	9.83779762259379e-05	2260/2247/2775/22808/7057/9693/5582/56034/3684/5159/4233/2770/2776/999/3480/80310/115/55740/1436/5293/5578/51196/4803/3688/83660/2250/3845/23094/7010/2778/5335/1500/5584/6237/5332/7094/673/2263/7423/23683/4893/1943/10000/5908/5898/1956/5590/54518/5595/9223/51735/5906/8817/889/1946/998/27006/3690/5290/260425/1942/26037	62
hsa05214	Glioma	Cancer: specific types	29/1625	0.000169919705647146	0.000113020582245852	1647/57118/5582/5159/6655/3480/4616/595/5293/5578/6654/1021/817/3845/25759/53358/5335/51426/1029/673/4893/10000/1956/8536/5595/5336/5290/5925/815	29
hsa04530	Tight junction	Cellular community - eukaryotes	52/1625	0.000178537596134449	0.000118752695521922	10398/9693/7846/11346/4628/4734/154810/653857/595/51762/57530/4637/51421/5567/8777/87/5563/79784/84952/3688/6093/5962/2017/861/5565/5602/2064/5584/100506658/10627/9069/10096/49861/7082/81/1739/5590/51208/9223/9475/51735/55114/5906/5872/51422/4478/153562/8189/113457/5599/998/5562	52
hsa04722	Neurotrophin signaling pathway	Nervous system	40/1625	0.000185626724668466	0.000123467966369872	6655/27330/9500/2549/5293/4909/5663/6654/2932/10818/57498/817/6272/4803/6197/3845/25759/53358/5335/5602/7189/5970/11108/673/10603/4893/10000/5908/627/5595/5906/9252/5336/6196/2309/5599/5781/998/5290/815	40
hsa05212	Pancreatic cancer	Cancer: specific types	29/1625	0.000202735178055218	0.000134847502108428	1647/7042/3716/4616/595/5293/1021/7046/5337/6774/3845/10928/5602/2064/51426/1029/5970/673/6772/10000/5898/1956/5595/5599/998/5290/5338/5925/4089	29
hsa05226	Gastric cancer	Cancer: specific types	47/1625	0.00020539052733864	0.000136613684087944	1647/7042/1030/83439/2247/7481/6655/7474/4233/999/2549/4616/80326/595/5293/6654/7475/2932/1027/7046/8322/324/2250/3845/4040/25759/53358/2535/2064/51426/5915/673/2263/4893/10000/1956/3728/10023/5595/8817/54361/81029/7480/27006/5290/5925/4089	47
hsa04921	Oxytocin signaling pathway	Endocrine system	48/1625	0.000228871657864594	0.000152231949395824	5021/59285/2775/10398/57118/59283/5582/4638/2770/2776/3709/55799/781/595/115/5743/27092/4659/5578/4637/5567/7226/817/5563/4208/6093/3845/1827/4776/2778/5565/6261/5500/5332/4772/4846/4893/1956/8536/3761/5595/9475/5321/51422/784/54776/5562/815	48
hsa04392	Hippo signaling pathway - multiple species	Signal transduction	15/1625	0.000274140574913337	0.000182342167295523	79633/122786/23286/7003/84962/9770/60485/10413/126374/26524/9113/92597/5058/55233/166824	15
hsa05165	Human papillomavirus infection	Infectious disease: viral	87/1625	0.000283907844192591	0.000188838779661281	1286/1285/2335/83439/7057/1292/7059/3371/7481/3915/5159/6655/7474/3716/3685/64764/80326/5523/1277/595/3676/5743/1284/5293/5934/1287/4853/1291/523/5663/836/84441/3455/6654/5567/6773/7475/1021/2932/1027/1387/26508/9586/7058/3454/8322/324/3688/3845/3516/1385/2535/2778/5529/27175/3696/5584/1288/355/90993/51382/5970/6772/3912/4893/4600/2033/10000/1739/1956/5590/5595/3694/9223/54361/3911/7337/10319/81029/10379/7480/998/3690/5290/5925/3914/7450	87
hsa04550	Signaling pathways regulating pluripotency of stem cells	Cellular community - eukaryotes	45/1625	0.000290787692191871	0.00019341484942129	2260/2247/3624/659/3400/7481/6498/7474/3716/3480/3572/3399/80326/5293/3625/64211/463/7475/2932/5978/8322/6774/324/3398/3845/2535/4093/657/2263/56916/4893/3718/10000/5595/658/54361/4090/91/81029/10336/55183/7480/5290/3717/4089	45
hsa05132	Salmonella infection	Infectious disease: bacterial	69/1625	0.000324151847943413	0.000215606721133987	83439/10398/84617/79659/7846/9265/113146/112574/653857/257397/5286/27072/5293/302/10640/9648/836/4646/5869/10006/3569/55860/64746/147700/79026/6885/329/10121/5289/114548/51164/60412/1781/5058/257364/5602/10627/6237/7189/10096/5970/23207/10382/10540/8976/347733/89953/10000/5898/3606/5595/9475/1783/3799/9367/1639/837/57381/10787/55770/113457/2316/5599/10120/998/26084/10392/5290/9267	69
hsa05218	Melanoma	Cancer: specific types	27/1625	0.00045530764715457	0.000302843835483436	1647/2260/2247/56034/5159/4233/999/3480/80310/4616/595/5293/1021/4286/2250/3845/51426/1029/673/4893/10000/1956/5595/8817/27006/5290/5925	27
hsa05220	Chronic myeloid leukemia	Cancer: specific types	28/1625	0.000457107686385613	0.000304041115582193	1647/7042/9846/6655/4616/595/5293/6654/1021/1027/6776/7046/3845/861/25759/53358/51426/1029/5970/6777/673/4893/10000/5595/5781/5290/5925/4089	28
hsa04512	ECM-receptor interaction	Signaling molecules and interaction	31/1625	0.000457107686385613	0.000304041115582193	1286/1285/2335/80144/7057/1292/7059/3371/3915/3339/3685/255743/9900/1277/3676/1284/1287/1291/7058/3688/3696/1288/3912/948/6385/3694/3911/10319/3690/3914/7450	31
hsa05222	Small cell lung cancer	Cancer: specific types	32/1625	0.000457107686385613	0.000304041115582193	1286/1285/2335/1647/1030/3915/3685/4616/595/5743/1284/5293/1287/836/1021/1027/79444/3688/329/1288/51426/7189/5970/5915/3912/6502/10000/3911/10319/5290/5925/3914	32
hsa05224	Breast cancer	Cancer: specific types	45/1625	0.000517907558461587	0.000344481610204808	1647/83439/2260/2247/7481/6655/7474/3480/4616/80326/595/5293/4853/8648/6654/7475/1021/2932/26508/8322/324/8202/2250/3845/4040/25759/53358/2535/4791/2064/51426/673/4893/10000/1956/10023/5595/8817/54361/81029/3714/7480/27006/5290/5925	45
hsa04390	Hippo signaling pathway	Signal transduction	47/1625	0.000529952087577624	0.000352492921714484	5054/7042/83439/654/2736/659/122786/7481/7474/23286/999/7003/84962/80326/595/6591/60485/4092/7475/2932/7046/10413/126374/8322/26524/324/329/3398/9113/92597/2535/5584/7159/5500/657/27113/55233/1739/5590/658/54361/81029/166824/7480/23291/23418/4089	47
hsa05215	Prostate cancer	Cancer: specific types	33/1625	0.000529952087577624	0.000352492921714484	83439/2260/56034/5159/6655/3480/80310/64764/595/5293/6654/2932/1027/1387/9586/4824/7113/3845/2950/1385/2064/90993/5970/673/2263/4893/2033/10000/1956/5595/5290/5925/6935	33
hsa04150	mTOR signaling pathway	Signal transduction	47/1625	0.000606132273328758	0.000403163495303339	6446/7481/5582/6655/7474/27330/3480/79899/80326/8140/9706/96459/10325/5293/5578/523/6654/7475/2932/9663/5563/201163/8322/253260/8408/6197/3845/4040/6249/2535/6520/57600/51382/673/4893/58528/6502/10000/5595/1975/54361/6196/8649/81029/7480/5562/5290	47
hsa04917	Prolactin signaling pathway	Endocrine system	26/1625	0.000616856763050877	0.000410296794340477	6655/3972/595/5293/6654/2932/6776/6774/122809/3845/8651/25759/53358/5602/9655/5970/6777/6772/4893/10000/5595/9306/2309/5599/5290/3717	26
hsa04934	Cushing syndrome	Endocrine and metabolic disease	46/1625	0.00073091717130765	0.000486163061312182	1030/83439/7481/7474/2770/2776/3709/64764/80326/595/8911/115/1386/196/5567/7475/1021/2932/1027/817/9586/8322/324/405/1385/2535/2778/90993/9101/1029/5332/673/3283/4221/5908/1956/5595/5906/54361/8912/81029/7480/5925/1583/815/54554	46
hsa04630	JAK-STAT signaling pathway	Signal transduction	48/1625	0.00140813146761313	0.000936606132539017	316/5159/6655/3716/3572/595/1439/5293/3953/3455/6654/6773/9466/3569/6776/1387/3454/6774/8554/122809/8651/163702/1489/9655/5292/6777/6772/23529/3718/10254/2033/6775/9063/10000/1956/3588/5771/8027/50615/9306/133396/10379/5781/9180/3592/5290/3717/338376	48
hsa04142	Lysosome	Transport and catabolism	40/1625	0.00141683950938634	0.000942398209141794	1512/1657/135112/8722/23431/8218/2581/3920/9583/1200/950/6272/2799/3988/9741/4125/5660/8763/84572/256471/6609/23312/10053/427/2548/3482/3073/2760/175/79158/8546/2588/23335/164/138050/1176/53/5476/26503/4126	40
hsa05410	Hypertrophic cardiomyopathy	Cardiovascular disease	32/1625	0.00141683950938634	0.000942398209141794	7168/59285/7042/7139/59283/7134/3685/55799/781/7273/3676/27092/8082/6443/3569/5563/489/3688/5565/3696/7171/7137/3694/51422/784/487/8910/6546/7169/3690/5562/1636	32
