logCPM	PValue	FDR	log2FoldChange
BCL2	3.77122670170394	1.11001812903534e-113	1.7933177843955e-111	9.1519
PLXNB1	5.08586224540916	3.39012623605639e-111	5.28975594576457e-109	3.291
DSE	4.91698109245506	5.47871933287419e-110	8.47622882550434e-108	3.1825
ARHGEF25	4.74215775052832	7.79601820624683e-110	1.19600091069951e-107	4.7223
RUNDC3B	3.86316718749774	1.8328292881889e-109	2.76530012274187e-107	6.5101
NEO1	5.37757711860547	1.39455490813099e-108	2.06983694332027e-106	3.1309
SPINK1	3.90970213103624	1.12012711902032e-107	1.63592325478679e-105	5.5634
BCL6	5.08138324771198	3.04549791448528e-107	4.412588089432e-105	3.0021
PTGFR	4.00843557988904	6.28516195231376e-104	8.89472221716589e-102	4.5137
LOC613266	3.36418318794392	1.4646777059217e-103	2.05685816917743e-101	11.059
DOK4	6.01131620696936	1.85221188135355e-103	2.58121985541912e-101	2.6878
CYFIP2	4.2974281026871	4.58866208926781e-100	6.25153844042337e-98	4.2272
ARHGEF38	4.8956165838801	3.19753725878504e-99	4.32401779232442e-97	2.9651
KCNJ13	3.7934352248502	1.0199209357593e-97	1.35910048198699e-95	5.1922
LGSN	4.53667989119123	1.30837515790631e-97	1.73084760019838e-95	3.5364
CFI	7.69014506724741	1.50923656715988e-97	1.98220307698351e-95	2.4864
CAPN5	5.4036433150026	1.86726293819642e-97	2.43491087140814e-95	3.0281
SLC16A7	6.5418177726312	1.59970606168279e-95	2.04225411622944e-93	2.6384
HOGA1	3.43026812676298	1.82030417363566e-95	2.30774118013143e-93	7.0329
GATA2-AS1	5.26349151156357	9.0045888752746e-95	1.11828418031982e-92	2.6559
BMP5	3.3309419025188	3.15114363462268e-94	3.8608911539377e-92	8.7044
ASRGL1	6.67990069569662	4.83111163633189e-94	5.879784935525e-92	2.536
ZFHX4	4.73317982608299	4.42433259261284e-93	5.34904740468477e-91	3.0478
NCKAP5	3.24340545092251	3.13352859280045e-92	3.76353276251086e-90	10.9361
SPNS2	4.36485789129532	3.1820442941756e-92	3.79682357088038e-90	3.4183
FILIP1L	4.1189969618185	2.96129790195951e-91	3.48783577407567e-89	4.1243
TLR3	4.48228162749685	3.00150794314385e-91	3.51253391089962e-89	3.21
PHGDH	6.43507960726467	4.50109211237786e-90	5.13574610022314e-88	2.3637
NPNT	3.2756842757908	3.91911479602331e-89	4.41650368618528e-87	6.5674
HNF1B	5.0088280524992	1.0077838735152e-88	1.12871793833703e-86	3.3887
CCDC50	6.10140804194381	3.09734913961803e-88	3.42698217532525e-86	2.3749
TRNP1	8.92355770448207	5.05070181915689e-88	5.55455496448965e-86	2.7684
MMP7	4.25597883905966	6.64880579123955e-88	7.26829931286642e-86	3.7445
BAMBI	4.92711098016626	6.63473482841219e-87	7.16708396612385e-85	2.9535
C1S	3.53839593477466	1.39586764347634e-86	1.49899762937083e-84	5.0886
RNF19A	5.90862360004874	1.60556208437398e-86	1.71410183697844e-84	2.3153
GPRC5B	3.86528130119881	1.07467006341732e-85	1.14064980684574e-83	3.95
TINAG	3.58200337003458	1.99743531032504e-85	2.10781381649098e-83	4.6289
AXL	4.53887844170932	1.89230402377321e-84	1.97405155760021e-82	2.9763
CHST9	3.01417048238634	2.64829424577141e-84	2.74700339493198e-82	10.7035
CPEB4	5.69636585573929	4.64333554668771e-84	4.78919399662886e-82	2.609
KLHL24	4.98445101885569	6.16402014725695e-84	6.32192987687207e-82	2.6814
DLC1	3.18721553144979	8.43304091367729e-84	8.55297749556069e-82	7.1736
TACC1	5.94867323170473	3.37038669298207e-83	3.38075711357586e-81	2.2419
PRRG1	4.724068521111	4.23976691102966e-83	4.22957293594303e-81	2.9839
ITM2B	8.48122858178615	6.25624416996197e-82	6.10770019073934e-80	2.1158
LOC100130417	3.27981870195091	3.35258915235163e-81	3.23835278123446e-79	8.6542
CLDN1	5.66378355772129	4.15585063307698e-81	3.99311627144492e-79	2.2507
ADAMTS10	3.16246233062004	6.94305819590325e-81	6.6362549960424e-79	6.7598
TPD52L1	5.95199674947167	9.5263222583925e-81	9.05794474735487e-79	2.4269
SYT14	3.78352245469021	4.61273143505865e-80	4.3184628245349e-78	4.1506
CDK14	4.59847780347351	1.06378972661708e-79	9.80835618642492e-78	3.2254
ZNF706	8.22523554652266	2.53951757358251e-79	2.31807164116611e-77	2.2229
ADAMTS9	4.40933956470266	8.10069486795222e-79	7.28503869504117e-77	2.9922
LOC642236	4.01232745640453	8.49526409201179e-78	7.4922483702303e-76	3.5044
CHL1	2.95072569982383	1.09109546439777e-77	9.57646096059886e-76	10.6385
KIF12	3.16120732818111	2.17515653751599e-77	1.8999836243489e-75	7.1477
BIVM	4.24816970702431	5.57127709139444e-77	4.84329688478557e-75	3.1556
ADCY6	5.28505068371187	2.22752161640034e-76	1.92728126203813e-74	2.2766
FSTL1	5.98621948973594	2.8855371632449e-75	2.47316274423469e-73	2.0987
FGF5	3.61494902160699	5.63465710235075e-75	4.80683645142595e-73	4.4344
SATB2	3.63863329680518	6.99940121309102e-75	5.94330551377627e-73	3.8809
TGFA	6.1095350460405	7.53757803376683e-75	6.370649286317e-73	2.2192
LOC90246	3.57751083090721	1.27879461342125e-74	1.07583753283956e-72	4.0134
