logCPM	PValue	FDR	log2FoldChange
KRT16P1	6.90648779121141	9.65810325921834e-253	1.7631833310029e-248	-4.4006
ABCC2	6.03247864323284	2.35912721873724e-244	2.15341132526335e-240	-4.2178
TRPC6	5.35172784081953	5.38137479242966e-224	3.2747459403532e-220	-5.292
TLL1	4.29972560726797	8.39896745763188e-173	3.06663099813055e-169	-4.7371
PRSS3	3.47854230863836	1.5446605486765e-148	3.52491537207977e-145	-8.8402
CELF2	3.86585200099038	1.05375309374996e-147	2.13747960883326e-144	-5.3113
COL17A1	6.09647383523377	1.1219705269991e-132	1.57559184160736e-129	-2.9381
BST2	5.665303588899	5.54647488945384e-132	7.23260325584781e-129	-2.6851
STOM	5.66251884947021	9.45100247221138e-132	1.15025000755127e-128	-2.5785
KRT16P3	3.60937796331845	4.27172171460245e-116	3.11938206487129e-113	-4.1294
LOC100128317	3.05338922024112	1.81089895335326e-108	1.22443597379323e-105	-7.9161
RIMKLB	4.73162033466574	2.96302315271469e-97	1.59096913752822e-94	-2.5464
CFH	4.5093557151426	1.19141485865507e-93	6.0417971276686e-91	-2.7355
CEACAM6	5.79555118169473	1.13651851047019e-91	5.60764376409293e-89	-2.4326
NQO1	7.48697094575286	1.04322666704306e-88	4.76128650838454e-86	-1.9038
DEFB4A	3.19534614577212	2.93892824525693e-88	1.30861156208318e-85	-4.3152
MUC5B	5.86706686068396	6.42102057712577e-85	2.44212815950017e-82	-5.7302
HGF	2.65903541107626	6.56628168018233e-84	2.44640894598793e-81	-5.5161
CNTN1	4.03717833193909	7.95034400615944e-82	2.73851849389522e-79	-2.771
IFI44L	5.61837784543923	1.72390031390598e-81	5.82806002419769e-79	-2.173
FGFBP1	4.6012048646793	5.69193995714493e-73	1.649397712026e-70	-2.2426
MARK1	2.33010272465539	3.72237731029929e-68	9.30900276394847e-66	-5.2942
TMEM64	5.60636678693353	7.68973331116799e-66	1.87178361771577e-63	-2.1473
AQP3	3.53657218158381	1.06206251129213e-63	2.51805366313626e-61	-3.0665
PELI2	2.27608687863257	1.45690078711323e-63	3.40989497045373e-61	-5.3711
NAPSA	5.62177788796291	6.63384269018425e-63	1.49515348335807e-60	-1.8424
SOX2	5.19137048624166	6.75370474710836e-62	1.48548956461699e-59	-1.9666
IL6R	4.81973182301906	1.40165922408455e-61	3.04627271367708e-59	-1.8718
DNAH2	4.58303213207332	3.04291703410879e-60	6.45947597380117e-58	-1.9864
KCNK2	2.23327509554523	8.43021743928318e-60	1.72923651203993e-57	-6.7348
RAB15	6.84225458210718	1.38673375606756e-58	2.72217327427627e-56	-1.7681
CCAT1	2.96268342173227	2.1104153273858e-57	4.01330648091199e-55	-3.1763
