Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa03013	Nucleocytoplasmic transport	Translation	76/2058	1.28681214709971e-24	1.07738556832859e-24	79711/10189/4927/4116/3842/23511/81929/51194/9688/3837/22794/29107/55110/9939/55706/51808/3843/57122/3840/64328/9631/23165/1434/5901/3839/7514/3838/23279/10527/22985/23225/7329/57510/23636/55161/23534/129401/5411/30000/4928/53371/9984/6612/10921/23214/79902/79023/55746/55308/10482/9972/25909/65109/5905/8480/55705/4686/8563/59343/3836/6396/84321/57187/348995/10762/7175/100101267/51068/22916/23039/80145/9775/5903/9883/10526/10250	76
hsa04110	Cell cycle	Cell growth and death	91/2058	1.94844391724401e-20	1.6313378466839e-20	990/9212/2810/9134/595/7042/4175/1030/4171/8317/4173/1869/891/26271/4176/1111/9319/5111/4172/993/10926/4174/991/1019/113130/1874/4998/7533/8318/157570/699/890/5527/51434/23594/7534/5591/5515/7157/90381/7272/5933/5529/8243/701/995/27127/64682/10403/51433/9088/8697/5001/4999/983/23047/1029/4609/4085/7027/9126/545/9184/1387/5347/9700/902/1663/7531/8454/27085/1026/81620/1871/6500/898/996/3066/10971/80174/6502/29945/7532/9978/23244/9232/23595/5519/25906/1031/10735	91
hsa03030	DNA replication	Replication and repair	31/2058	4.12531764562056e-14	3.45392892519725e-14	5422/2237/4175/4171/5427/4173/5982/4176/5111/4172/5557/5983/6118/4174/56655/54107/5424/246243/23649/5984/5425/6117/3978/1763/5558/5985/10535/10714/5426/5981/6742	31
hsa03410	Base excision repair	Replication and repair	29/2058	3.85551168432052e-08	3.22803344417553e-08	2237/5427/7374/55775/5982/5111/5983/56655/54107/5424/10038/142/5984/5425/3146/4913/3978/55247/5985/54840/10714/5426/6996/3980/328/5428/5981/11284/4968	29
hsa03430	Mismatch repair	Replication and repair	19/2058	6.81083611387409e-08	5.70238364152662e-08	9156/5982/5111/5983/6118/4436/5424/4437/5984/5425/6117/3978/27030/5985/2956/10714/4292/5981/6742	19
hsa03420	Nucleotide excision repair	Replication and repair	36/2058	7.10083675460834e-08	5.94518715083241e-08	5427/5982/5111/5983/6118/56655/5430/54107/5424/5984/5425/6117/3978/1161/5433/5985/10714/5426/4331/5439/902/8451/5886/1643/246721/5435/5440/8450/1642/2967/5981/9978/5437/5436/2965/5438	36
hsa03015	mRNA surveillance pathway	Translation	50/2058	9.26975140292929e-08	7.76111447659179e-08	53981/10189/4116/55012/1478/2107/10914/22794/29107/55110/9939/5527/5515/29894/22985/23708/8106/5529/5411/80335/10921/23435/55308/10482/9887/65109/51692/2521/4686/23283/23049/79869/11051/81608/10978/29101/8761/2935/5501/10898/55339/10767/1479/22916/11052/1477/9775/5519/10250/55844	50
hsa03040	Spliceosome	Transcription	89/2058	6.05280039745035e-07	5.06771700196055e-07	3312/10189/4116/153527/6632/220988/6636/84844/11157/6427/10946/6426/9410/9879/55110/6434/9939/58517/51645/4670/6432/56259/10084/22938/9128/10291/6428/22985/6627/11338/27339/9092/6637/6430/3192/3178/9984/9343/10465/10286/10713/10915/6631/10262/27316/1665/9129/3190/1655/23658/9416/10772/6635/2521/23350/6626/3183/4686/10285/10992/83443/6628/23450/10523/9716/10907/24148/51691/84321/84991/57187/6431/51729/10929/8683/6625/151903/55696/55660/51503/22916/57461/6629/9775/103625684/5356/27258/55119/5093	89
hsa03440	Homologous recombination	Replication and repair	25/2058	2.7970188914126e-06	2.34180862742265e-06	7517/580/6118/7156/83990/7516/641/5424/672/675/11073/79184/8438/5425/6117/5932/10714/5890/25788/5888/5892/10111/146956/6742/51720	25
hsa03020	RNA polymerase	Transcription	21/2058	2.09192387057516e-05	1.75146667155693e-05	10622/64425/27297/5430/84172/25885/55703/5433/51728/5439/10621/246721/9533/5435/55718/5440/11128/171568/5437/5436/5438	21
hsa03050	Proteasome	Folding, sorting and degradation	25/2058	4.82261657948699e-05	4.03774359453483e-05	5687/5694/5709/5700/5693/5706/5708/5684/5718/5721/5717/10197/9861/9491/5704/5705/5702/5707/23198/5719/11047/5713/5714/5688/5720	25
hsa03460	Fanconi anemia pathway	Replication and repair	28/2058	6.01246558159147e-05	5.03394661161609e-05	57697/29089/6118/7156/83990/7398/641/672/675/80010/2177/6117/2189/9894/2175/2178/5429/4292/55215/545/5888/116028/51426/2187/353497/84464/146956/84126	28
