Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa03013	Nucleocytoplasmic transport	Translation	56/1645	1.13219895027493e-13	8.83325496808922e-14	4686/9688/51194/23511/10189/4116/79711/57187/129401/9984/55110/5411/81929/3842/3843/23534/55308/8021/9939/9972/4928/10250/51808/3838/3840/3837/64328/23636/5905/30000/22794/22985/65109/2733/84321/59343/23165/7514/26019/57122/65110/10527/9883/55705/10526/80145/10762/55161/79023/10482/100101267/5901/3836/55746/4927/25909	56
hsa05014	Amyotrophic lateral sclerosis	Neurodegenerative disease	119/1645	4.30276270524832e-10	3.35695418489962e-10	146754/4707/25978/10383/1965/4686/9688/5714/23511/598/10452/10280/10189/4218/8701/7277/129401/29979/29796/2877/3831/220988/1349/5695/9973/4704/4702/7186/81929/1327/54205/4709/1537/5713/55967/8021/3084/4712/27089/6390/9972/5718/4724/4928/4731/84790/23636/3178/127602/5693/5705/7381/10120/2066/1351/1768/5687/84134/5684/7802/2733/4714/5534/4694/64837/9167/55567/581/23165/23435/5700/5717/90550/10975/57122/5861/4713/126328/2521/9883/9861/2475/1340/6432/5702/25981/71/10762/83544/7386/79023/10482/7384/4698/4711/5709/23064/9782/100101267/4705/6392/6311/10376/7416/1337/4722/5715/5686/51079/2906/55746/4927/374291/11258/113457/29978/5685/9377/1346	119
hsa03015	mRNA surveillance pathway	Translation	46/1645	1.1123711600224e-08	8.67856137231099e-09	4686/53981/10189/11051/4116/55012/1478/2107/55110/5411/55308/79869/9939/8761/10898/5516/10250/10914/22794/51585/9887/8189/5529/22985/23381/8106/65109/2733/81608/29894/26986/11052/29101/23435/80335/26019/1479/65110/2521/55339/26528/55844/10482/51692/5501/5520	46
hsa05016	Huntington disease	Neurodegenerative disease	100/1645	1.1123711600224e-08	8.67856137231099e-09	146754/4707/10383/5714/292/8701/7277/5432/29796/2877/3831/1349/1211/5695/4704/4702/7186/1327/2776/54205/4709/1537/5713/55967/4712/27089/6390/5439/5718/4724/4731/84790/5438/5441/127602/5693/5705/7381/10120/3065/1351/1768/6875/5332/5433/5687/1212/5684/7802/4714/4694/64837/9167/5440/3092/55567/581/5700/7417/5717/6804/246721/10975/5435/4713/23186/126328/7419/9861/5437/2475/1340/10105/5702/25981/83544/7386/7384/4698/4711/5709/4705/6392/3708/10376/7416/1337/4722/23236/2893/5715/5686/51079/374291/5331/11258/113457/5685/9377/1346	100
hsa04110	Cell cycle	Cell growth and death	60/1645	4.24700723048609e-08	3.31345455753094e-08	1874/595/246184/1021/2810/990/113130/4616/23594/4176/9134/4173/993/5001/7533/10926/1869/1029/891/4609/8243/5516/81620/9232/4088/90381/27127/7709/157570/3065/5529/10403/8555/7027/545/4174/699/7532/4175/1030/8697/51433/1871/55869/9126/4171/8318/983/902/7534/4999/1870/8317/1111/8556/51434/890/23047/29945/10735	60
hsa05012	Parkinson disease	Neurodegenerative disease	86/1645	3.07595177269755e-07	2.39981376693431e-07	4707/10383/1965/5714/292/598/7277/7295/29796/64116/3831/1349/817/5695/801/4704/4702/1327/7327/54205/5566/4709/1537/5713/55967/4712/27089/6390/5718/4724/4731/84790/91860/5693/5705/201266/7381/1351/5567/4128/7332/5687/5684/4714/4694/2774/64837/9167/581/5700/7417/5717/90550/10975/4713/126328/9927/808/7419/9861/1340/10105/5702/7386/7384/4698/4711/5709/4705/6392/3708/10376/7317/27429/7416/1337/4722/6233/5715/5686/51079/374291/113457/5685/9377/1346	86
hsa03420	Nucleotide excision repair	Replication and repair	31/1645	3.62787796774135e-07	2.83041872405827e-07	54107/5427/5887/5432/56655/5982/1161/5439/5424/7507/5886/5438/2966/5441/5983/6118/5433/8451/5440/5426/246721/5435/4331/728340/5437/902/2965/1069/2068/3978/5984	31
hsa03018	RNA degradation	Folding, sorting and degradation	35/1645	7.33902607801107e-07	5.72580362742659e-07	118460/4849/23404/51010/2026/23019/87178/11157/5214/10200/2023/3329/55802/8761/23016/3313/27258/131870/54512/27257/51691/57472/26986/5213/84186/11340/219988/5393/5394/23644/25904/22894/196513/4850/115752	35
hsa03040	Spliceosome	Transcription	75/1645	1.39546368985529e-06	1.0887208973484e-06	9128/4686/6636/84844/10189/4116/9410/57187/6627/11157/220988/9092/23450/9984/58517/51729/55110/10262/6632/3312/27316/10084/10915/6430/9939/10946/22938/6426/84991/3190/1655/10992/6637/8683/3178/27258/6626/51503/153527/102724594/151903/27339/6625/22985/7307/51639/6427/3192/51691/84321/9785/57461/9716/9879/10291/10286/4670/6434/2521/9129/26827/1665/6432/10907/23350/9416/3183/55119/10772/10523/6635/10465/9343/10713/26831	75
hsa03030	DNA replication	Replication and repair	21/1645	1.39546368985529e-06	1.0887208973484e-06	5422/54107/5427/23649/2237/4176/5557/4173/56655/5982/5424/5983/6118/4174/246243/4175/5426/4171/6742/3978/5984	21
