Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa05022	Pathways of neurodegeneration - multiple diseases	Neurodegenerative disease	131/1645	1.39546368985529e-06	1.0887208973484e-06	146754/4707/25978/10383/1965/5714/292/598/10452/10280/5578/4218/8701/7277/29796/3028/2877/3831/1349/817/5695/9973/801/4704/4702/7186/824/1327/2776/7327/7480/54205/4709/1537/5713/55967/4712/27089/7477/6390/1459/5718/4724/4731/22943/84790/91860/127602/5693/5705/7381/10120/1351/1768/5332/7332/5687/342371/84134/5684/7802/4714/5534/4694/64837/9167/3092/55567/581/23435/5700/7417/673/5717/6804/90550/10975/5861/4713/3265/776/126328/9927/2521/808/7419/6261/4040/9861/2475/1340/10105/5702/25981/83544/7386/7384/4698/4711/5709/4705/1499/6392/5481/3708/6311/10376/27035/369/4287/4790/7317/27429/7416/1337/4722/6233/23236/2893/5715/5686/355/51079/2906/374291/5331/11258/113457/5685/9377/1346	131
hsa05020	Prion disease	Neurodegenerative disease	83/1645	5.85623588229658e-06	4.56895183386607e-06	4707/10383/1965/5714/292/7277/29796/3831/1349/5695/4704/4702/1327/3312/54205/5566/4709/1537/5713/55967/4712/27089/6390/1459/5718/5880/4724/4731/84790/5295/5693/5705/7381/1351/5567/10963/5687/857/5684/4714/5534/4694/64837/9167/581/5700/7417/5717/90550/10975/4713/776/126328/858/7419/6261/9861/1340/10105/5702/7386/7384/4698/4711/5709/727/4705/6392/3708/10376/7416/1337/4722/5715/5686/51079/2906/374291/113457/5685/9377/1346/1535	83
hsa04932	Non-alcoholic fatty liver disease	Endocrine and metabolic disease	51/1645	8.69788015652666e-05	6.78596222738303e-05	3570/4707/1965/29796/1349/4704/4702/7186/1327/54205/4709/1537/51422/5565/55967/4712/27089/6390/79602/4724/4731/5295/3725/7381/6945/1351/4714/4694/9167/581/6256/10975/4713/126328/998/1340/7386/7384/4698/4711/4705/6392/4790/1337/4722/355/51079/374291/9377/208/1346	51
hsa05222	Small cell lung cancer	Cancer: specific types	34/1645	0.000203713360491468	0.000158934262674458	1287/1164/595/1021/598/4616/4149/9134/1288/3673/1869/7186/54205/4609/3675/5295/7709/3909/3918/7187/1030/581/6256/1871/4792/3655/3685/1870/330/4790/10319/8517/208/3674	34
hsa05415	Diabetic cardiomyopathy	Cardiovascular disease	61/1645	0.000203713360491468	0.000158934262674458	4707/292/5578/29796/1349/817/4704/4702/1327/4709/1537/55967/4712/27089/6390/5880/4724/4731/4088/2539/5295/5166/7381/1351/5332/4714/4694/9167/2597/7417/10975/4713/126328/1636/7419/2475/1340/10105/5162/7386/2936/7384/4698/4711/9945/4705/6392/5501/4790/7416/1337/4722/23236/2997/51079/374291/5331/9377/208/1346/1535	61
hsa05010	Alzheimer disease	Neurodegenerative disease	102/1645	0.000203713360491468	0.000158934262674458	4707/10383/1965/5714/292/7277/29796/64116/3028/3831/1349/5695/801/5610/4704/4702/7186/824/1327/2776/7480/54205/4709/1537/5713/55967/4712/27089/7477/6390/1459/8883/5718/4724/4731/22943/84790/91860/5295/5693/5705/201266/7381/1351/5332/5687/5684/4714/5534/4694/64837/9167/2597/5700/7417/673/5717/90550/10975/4713/3265/776/126328/808/7419/4040/9861/2475/1340/10105/5702/7386/7384/4698/4711/5709/4705/1499/6392/5481/3708/10376/27035/369/4790/7416/1337/4722/23236/5715/5686/355/51079/2906/374291/5331/113457/5685/9377/8517/208/1346	102
hsa03250	Viral life cycle - HIV-1	Information processing in viruses	26/1645	0.000223071879750806	0.000174037503706511	684/4599/9582/4300/23299/23534/79869/1025/9972/27183/4298/11168/22936/25920/128866/11052/2648/7514/29082/7469/29969/85363/6827/5901/905/6829	26
hsa05171	Coronavirus disease - COVID-19	Infectious disease: viral	68/1645	0.000255807496839854	0.000199577365955551	3570/4939/4599/6218/4940/6850/1956/10379/1437/5578/6166/4938/11224/5610/6194/3654/6191/6772/6136/6137/6130/6173/51121/2197/6143/6229/5295/3725/6135/64135/6128/25873/6132/7187/6129/6228/3572/6157/9349/4792/4615/6152/4793/3455/6231/6209/1636/6147/6134/6159/6204/200916/6217/6146/9045/6207/727/23521/6230/7098/4790/6233/6156/9636/8517/6124/6122/6181	68
hsa05208	Chemical carcinogenesis - reactive oxygen species	Cancer: overview	65/1645	0.000345962227175994	0.000269914802626472	1728/3082/1956/4707/292/27/9020/4257/3091/29796/1349/4704/4702/1327/4709/1537/55967/4712/27089/6390/4724/4731/5295/3725/52/7381/1351/4714/4694/9167/2947/7417/673/4792/10975/4233/4713/3265/126328/2052/7419/1340/10105/7386/7384/4698/4711/4705/65010/6392/2941/27035/369/4790/7416/1337/4722/51079/374291/9377/8517/208/1346/873/1535	65
hsa03050	Proteasome	Folding, sorting and degradation	20/1645	0.000603883848611337	0.000471141578483149	5714/10197/5695/5713/5718/5721/5693/5705/5687/5699/5684/5700/5717/9861/5702/5709/9491/5715/5686/5685	20
hsa00190	Oxidative phosphorylation	Energy metabolism	43/1645	0.00095145663654548	0.00074231291767635	4707/9550/29796/1349/9114/4704/4702/1327/54205/4709/1537/55967/4712/27089/6390/4724/4731/7381/51382/1351/5464/4714/4694/9167/10975/4713/126328/10063/1353/1340/7386/7384/4698/4711/4705/6392/23545/1337/4722/51079/374291/9377/1346	43
hsa04218	Cellular senescence	Cell growth and death	47/1645	0.00127648931090703	0.00099589878126493	1874/595/1021/2113/292/4616/9134/3105/993/28996/1869/4775/1029/801/824/2305/891/4609/91860/4088/5295/677/91750/545/5534/1030/7417/1871/90550/4773/3265/776/808/7419/983/2475/1870/1111/5481/3708/5501/4790/7416/890/54822/7248/208	47
