logCPM	PValue	FDR	log2FoldChange
WDR20	5.70299913972316	9.97422084987786e-29	1.65535796213973e-26	-1.1002
IGFBP3	8.10007686336214	3.61526849419285e-28	5.89288764553434e-26	-1.0192
PCSK5	2.40965599732631	3.75968140109453e-28	6.07404811136122e-26	-2.6318
SPTLC2	6.33083626664534	9.28397640285168e-28	1.48673923868825e-25	-1.0453
ALDH6A1	4.41453473526234	1.33840271384106e-27	2.12468521251152e-25	-1.5008
TMED10	9.05118757066632	1.43356950379565e-27	2.25614179838736e-25	-1.0394
AKR1B10	7.46663644885529	1.6496789911348e-27	2.57406321898777e-25	-1.0655
GBP6	1.13757050600956	2.32643595717045e-27	3.59927244356811e-25	-6.6132
KRT16	3.35931937690628	3.84742806407165e-27	5.8048468378258e-25	-1.7287
FYB	2.47715401843423	6.70926019595171e-27	9.79874033098355e-25	-2.4949
CDA	4.11534019322577	9.30370721758535e-27	1.34800380130348e-24	-1.4999
SERINC5	5.74822459621308	1.43090118129892e-26	2.02500247796846e-24	-1.0459
NEK9	6.8065610491498	1.68778778575297e-26	2.37017337051586e-24	-0.9982
BCL6	3.6156598333482	1.98196804321599e-26	2.76204645778253e-24	-1.5989
VILL	1.20521360665559	3.63455376541394e-26	4.91499359565903e-24	-4.8777
TXNIP	5.83357837564931	6.33061849170972e-26	8.43589570690895e-24	-1.1675
PITPNM3	4.40769974844116	8.26155702214041e-26	1.09292018113185e-23	-1.2711
L1CAM	5.89245108648373	1.65405988114415e-25	2.17241130864515e-23	-1.0411
TPRXL	2.63283488264616	2.39482970879008e-25	3.10071001160792e-23	-2.1321
ITPR1	2.9446260951725	3.26106739021032e-25	4.19253847011828e-23	-2.0309
ANKRD9	4.77897506486152	3.38870561857033e-25	4.32616851556783e-23	-1.1619
TMTC1	2.4205229990686	3.49471765870682e-25	4.43052538731609e-23	-2.3665
MGP	4.63114586349177	5.04226943403467e-25	6.30490895806417e-23	-1.1957
LOC729966	0.967393802410293	6.1407452814189e-25	7.62622080663833e-23	-6.4333
EIF2B2	6.23388372501599	6.86184440255643e-25	8.40737123577652e-23	-0.9704
METTL7A	3.0269414815164	6.97406509954968e-25	8.48790216382526e-23	-2.0074
PDE1C	1.73628284091571	7.28615486245475e-25	8.809009481389e-23	-3.3391
AMOT	5.78229792590045	7.36902413079079e-25	8.85058582445505e-23	-1.0206
CAPN8	3.78622285307856	1.25962785849247e-24	1.49323157043108e-22	-1.5626
VIPAS39	5.20721198732243	1.52312979147432e-24	1.79395209504227e-22	-1.1103
CAPG	6.59558551881107	2.95704292800842e-24	3.39520601847306e-22	-1.1563
SLIRP	8.02979748802546	6.7012189086028e-24	7.55169459231189e-22	-0.8929
FTH1	10.9234852372475	7.48748178246098e-24	8.3859795963563e-22	-0.9851
SESTD1	6.8200812199032	1.13047880892884e-23	1.25841592291494e-21	-0.9524
YPEL3	3.29469006283214	1.18574334595737e-23	1.31193518326047e-21	-1.8252
KRT17	2.48664113706852	1.3460543206914e-23	1.48033540232182e-21	-2.7025
SLC9A3R2	5.06648572080134	2.49589127149532e-23	2.72844257798914e-21	-1.2813
ABCD4	4.88540598027385	4.18321576271425e-23	4.54576112881615e-21	-1.148
FBP1	3.88778802617829	5.6690061112072e-23	6.0878456215411e-21	-1.4616
HPDL	3.13871672241706	6.27023882012564e-23	6.69412163159144e-21	-1.7008
POMT2	5.89891149020541	7.01073662319072e-23	7.44116324377731e-21	-1.0094
KDM1A	7.78143390236708	1.0011032100799e-22	1.05642428920339e-20	-0.8945
ALCAM	8.17763468197297	1.06861952752992e-22	1.12119069509116e-20	-0.8854
REEP6	4.03577763999325	1.09471887348538e-22	1.14201072881995e-20	-1.3983
SMEK3P	1.18343049560082	1.24446027897982e-22	1.29084470755998e-20	-4.5494
LGR6	1.6609544019041	1.83322885177153e-22	1.88019246730006e-20	-3.2442
ALDH1L1	3.19488952660986	1.97115581958016e-22	2.01035869509807e-20	-1.6453
ADGRF1	5.81446527710623	2.98609230515038e-22	2.99528028147392e-20	-1.0529
ANGEL1	4.87354217396903	3.26155909496821e-22	3.25371709495845e-20	-1.0538
ATHL1	4.15735169193805	7.95401642742721e-22	7.76516170583482e-20	-1.3264
APOPT1	6.09533324497026	1.05450895835593e-21	1.01857754199713e-19	-0.9666
CIPC	5.72380847372951	1.14934050548281e-21	1.10433475095233e-19	-1.0606
HTRA1	4.34750809159016	1.52900801838683e-21	1.45383179081615e-19	-1.1782
VSIG2	0.972254672610052	1.59152951737923e-21	1.50543849063603e-19	-5.0306
CSTB	7.68903532584122	1.77408992596859e-21	1.66947348909704e-19	-0.8774
DMBT1	1.51783809958948	3.36950342791502e-21	3.12252053705668e-19	-3.1772
EPHX1	7.04186497238427	3.5855642665475e-21	3.30596268939854e-19	-0.8473
GALNT5	1.38493591355361	4.2400946034191e-21	3.87035835400096e-19	-4.0939
SUMF1	4.82725617596503	4.45091667277882e-21	4.04258381981344e-19	-1.1281
IRX3	4.05828727607925	4.83286880633597e-21	4.36776499645888e-19	-1.3435
ALS2CL	4.83131076481377	5.80672795985914e-21	5.20440375062346e-19	-1.0456
IDH1	7.02027614622647	5.85377902583247e-21	5.2130043851511e-19	-0.8434
LINC01021	0.818528866666696	5.98642017026768e-21	5.30524692370906e-19	-6.2655
PYGB	6.77076127504539	6.63515591142956e-21	5.85175875937478e-19	-0.8705
IL1R2	2.55374489187993	7.08379017436663e-21	6.18763987670991e-19	-1.9591
KLK5	7.95815559951781	8.12120786338929e-21	7.06003670257309e-19	-0.8648
SLAMF7	0.737340534056153	8.18469176574472e-21	7.08150392774576e-19	-6.1907
HSP90AA1	12.7126917221817	8.35067514584876e-21	7.19103421993467e-19	-0.9925
ZNF503-AS1	0.673305153712122	9.88616425143799e-21	8.47332462789915e-19	-8.5527
AR	0.808815683873848	1.17607329208838e-20	9.98622977691419e-19	-5.3904
CDC42BPB	7.4461920154991	1.70495938851381e-20	1.42778617416092e-18	-0.8488
HSPB11	6.94485545172798	1.93084634157657e-20	1.60956761697816e-18	-0.878
