Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04928	Parathyroid hormone synthesis, secretion and action	Endocrine system	37/1607	0.0006274005206045	0.000409194939875527	64764/4324/2260/860/5330/5337/3709/148327/2625/5745/2768/2778/5595/5338/3710/4041/4208/9826/1958/2770/4322/5141/1388/4209/2353/3727/9935/5143/90993/4325/408/115/5142/107/8521/596/1386	37
hsa04150	mTOR signaling pathway	Signal transduction	47/1607	0.0006274005206045	0.000409194939875527	8324/54541/2535/8503/8408/6196/3643/7474/79899/5562/8131/7249/253260/9706/5595/7976/4041/64223/1856/5563/10000/84219/55004/5170/83667/6199/51606/6654/5296/7483/2932/5291/5290/81617/54468/3551/8322/55437/6502/201163/8649/6655/528/64900/3845/9894/51384	47
hsa04810	Regulation of actin cytoskeleton	Cell motility	63/1607	0.000800743489157709	0.000522250417621439	2335/3696/56034/2263/2260/8503/4478/55970/10451/2149/1131/3690/2768/10398/7114/5595/6714/3693/79784/2261/10000/3678/653857/54961/5154/54776/57121/2934/22808/3695/6654/5217/3676/80310/5296/3682/3687/5291/1950/5290/200576/624/4628/10092/2247/5499/50649/8936/89846/5063/1398/5500/9170/2245/3691/85477/6655/10152/5881/26999/5058/340156/3845	63
hsa04910	Insulin signaling pathway	Endocrine system	42/1607	0.000811763186763096	0.000529437540282316	8503/868/3643/5106/6720/5792/5562/32/7249/3636/5509/5770/5595/8660/2872/5563/10000/5571/5170/6199/6654/572/5296/2932/399694/5291/5290/3551/5499/10603/5599/1398/5500/31/5507/23265/6655/5573/2308/92579/3845/6517	42
hsa04625	C-type lectin receptor signaling pathway	Immune system	34/1607	0.000960775944562893	0.0006266246870348	5743/8503/4776/868/5336/3709/834/5530/1432/5595/8915/6714/3710/6773/114548/10000/51561/22808/1263/5580/6300/5296/53342/5291/5290/3659/3551/64170/5599/3553/1959/5603/5058/3845	34
hsa04919	Thyroid hormone signaling pathway	Endocrine system	38/1607	0.000960775944562893	0.0006266246870348	652/8503/5330/7157/1827/51196/5336/8202/481/7249/5335/3690/3066/5595/6714/7067/6513/10000/6567/5170/4851/9611/572/4853/9882/5296/2932/5291/5290/1387/7068/842/476/1734/116931/2308/3845/478	38
hsa00562	Inositol phosphate metabolism	Carbohydrate metabolism	26/1607	0.00105049613248986	0.000685140811422176	5330/8821/51196/5336/10423/9896/51763/3636/5335/9562/9107/8871/9110/3631/5289/5291/5290/200576/3707/22876/5287/55586/51477/4329/5286/55361	26
hsa05130	Pathogenic Escherichia coli infection	Infectious disease: bacterial	56/1607	0.0010827592621097	0.00070618304672709	2534/3554/7846/9080/9076/257397/3576/4646/834/4641/8440/1432/9871/2149/9181/2768/1364/9075/1366/5595/6714/10381/6885/7100/9826/114548/79784/653857/57121/578/6300/5777/2353/9266/4644/23118/4628/10092/836/3551/4642/8936/842/5599/8772/5063/3553/137075/5603/9170/837/26999/7082/5058/4645/10686	56
hsa04211	Longevity regulating pathway	Aging	30/1607	0.00122650412626004	0.000799934436966202	64764/8503/8408/7157/2309/3643/6648/9821/5562/7249/148327/8660/5563/10000/5571/83667/6199/27244/1388/5296/9474/5291/847/5290/90993/115/107/2308/1386/3845	30
hsa05132	Salmonella infection	Infectious disease: bacterial	66/1607	0.00126455208005539	0.000824749574433217	5420/9367/89953/7846/51429/51209/257364/257397/127829/3576/4646/834/7097/1432/27072/10398/5595/10381/7184/6885/1785/51626/11035/7100/114548/5609/84516/5869/10000/653857/23339/578/55770/6300/5217/8767/6932/9648/5289/5291/5290/2353/9266/5898/23118/10092/836/3551/10392/5287/83658/5599/8772/5063/3553/79792/5603/23643/63916/23265/837/5286/596/26999/5058/5606	66
hsa04144	Endocytosis	Transport and catabolism	66/1607	0.00139681239775106	0.000911010664390954	2263/1759/2348/5337/868/3482/8853/9829/30011/10564/116986/9372/1601/89853/57132/9727/116985/26052/23362/51100/6714/64411/5338/9922/60682/1785/51534/2261/5869/55738/26056/653857/5371/3949/23327/55040/6457/8724/64744/26286/116984/9266/79643/163/10617/10092/9230/3560/84440/10565/7048/2060/29924/84612/9146/57403/408/56904/50855/93343/23550/92421/118813/55616/112936/91782	66
