Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04151	PI3K-Akt signaling pathway	Signal transduction	120/1607	9.64274514659726e-12	6.28906478543428e-12	2335/3696/7057/3910/6696/1291/56034/1292/64764/54541/2263/2260/8503/284/9223/7157/2309/2793/3643/9048/5106/3718/1286/1285/896/7097/55970/5562/3815/5528/7060/7249/1298/3913/148327/9180/2149/5522/3690/5934/3566/2057/7422/59345/5595/3693/5525/7184/64223/1277/7423/1101/2261/5586/5563/10000/3678/5523/1942/5154/57121/5170/3695/6199/284217/4915/1284/6654/7531/3911/3676/1388/5618/572/117145/80310/5296/7529/54331/5228/2932/1282/2323/5291/1950/5290/2064/118788/4909/1945/2247/3575/63923/3551/3560/842/2065/3791/90993/7058/9170/3691/1435/6655/3164/7059/1944/2787/10018/23566/596/2783/2788/3716/5519/1946/1386/92579/3845/23678	120
hsa04142	Lysosome	Transport and catabolism	54/1607	1.77136910810134e-08	1.15529913011311e-08	6272/9516/54/1509/8905/1512/950/5476/2517/3482/1522/26503/4126/135112/285362/8763/968/427/9583/20/2519/5641/3920/1777/3988/2799/2990/175/23312/1201/9179/10312/51172/51606/84572/5660/535/6609/4864/23457/2760/4891/10053/7805/79158/2720/8722/8692/55353/1176/9741/410/3073/2548	54
hsa05165	Human papillomavirus infection	Infectious disease: viral	102/1607	5.4102199351429e-08	3.52858269696867e-08	2335/3696/5743/7057/3910/6696/8324/1291/1292/64764/2535/3996/8503/9223/7157/7474/1286/9519/1285/896/3993/5528/7060/7249/1298/3913/148327/5522/3690/5934/7422/3066/2778/5595/7976/3693/5525/155066/1277/6773/55534/84441/55502/1101/1856/10000/3678/5523/10312/3695/6199/51606/578/284217/1284/6654/4851/3911/3676/92359/6908/572/4853/535/1740/6932/5296/7483/2932/1282/5291/1950/5290/54626/3659/3955/29110/63923/836/3551/1387/8322/8772/84612/84667/90993/10474/7058/4600/3691/50855/5986/27175/6655/528/2308/7059/3716/5519/8312/3845/51384	102
hsa04140	Autophagy - animal	Transport and catabolism	61/1607	1.55479204521006e-07	1.01404607832599e-07	23710/54541/8503/1509/8408/9821/4077/11337/5562/7249/55062/8417/23130/8887/27072/51100/9706/5595/11152/1612/6885/140775/3920/8660/64223/26100/58476/5563/10000/23339/23604/9110/10133/57724/5170/22808/6199/5580/79065/572/5296/9474/5289/5291/5290/7405/29110/84938/285973/10241/53349/5599/9451/2081/89849/10652/7314/81631/596/23001/3845	61
hsa04510	Focal adhesion	Cellular community - eukaryotes	69/1607	2.0820806884797e-07	1.3579473624242e-07	2335/3696/7057/2534/3910/6696/1291/56034/1292/2013/8503/2012/1286/1285/896/7060/83660/1298/10451/3913/3690/55742/7422/10398/5595/6714/3693/1277/7423/5923/1101/10000/3678/7094/5154/54776/5170/3695/284217/1284/6654/3911/3676/572/80310/5296/5228/2932/399694/1282/5291/1950/5290/2064/63923/5499/5599/5063/1398/3791/5500/7058/3691/6655/7059/5881/596/5058/340156	69
hsa04068	FoxO signaling pathway	Signal transduction	50/1607	6.45485425340298e-07	4.2099003927852e-07	23710/100132074/901/8503/2309/3643/5106/604/6648/11337/5562/1432/116986/5934/5595/7040/8660/6789/5563/10000/5571/5170/1263/6654/6300/5347/5296/5291/1950/847/5290/6774/3575/1901/3551/1387/7048/5599/7874/6502/4303/5603/6655/2308/10018/1032/92579/3845/6517/23678	50
hsa01521	EGFR tyrosine kinase inhibitor resistance	Drug resistance: antineoplastic	35/1607	1.02556881442502e-06	6.68883042928496e-07	558/56034/2263/2621/8503/2309/5336/5335/2549/7422/5595/6714/2261/10000/5154/6199/6654/572/80310/5296/2932/399694/5291/1950/5290/6774/2064/2247/2065/3791/6655/10018/596/3716/3845	35
hsa04931	Insulin resistance	Endocrine and metabolic disease	42/1607	3.18122233791129e-06	2.07481511497324e-06	64764/8503/6196/5465/3643/5106/57761/6720/5792/5562/32/148327/5509/5770/8660/6513/5563/10000/5571/7376/183/5170/6199/5580/9882/5296/2932/1374/376497/5291/5290/6774/3551/5499/5599/5500/90993/5507/2673/2308/92579/6517	42
hsa04926	Relaxin signaling pathway	Endocrine system	47/1607	4.72067877872908e-06	3.07885920651222e-06	64764/8503/5330/2793/1286/1285/4318/55970/1432/148327/7422/59345/2778/5595/6714/7040/1277/7423/5609/10000/2770/4322/1284/6654/6300/1388/5296/54331/399694/1282/5291/5290/2353/7048/5599/90993/408/5603/115/6655/107/2787/2783/2788/2769/1386/3845	47
hsa05205	Proteoglycans in cancer	Cancer: overview	65/1607	4.72067877872908e-06	3.07885920651222e-06	4060/2335/7057/8324/2535/2260/8503/3339/7157/2817/51196/7474/4478/6385/5336/4318/3709/7097/1432/10451/5335/27250/2549/3690/7422/5595/7976/6714/3693/7040/3710/1277/5727/10000/3678/287/54776/5170/22808/6199/6654/6300/5296/7483/5291/5290/6774/5777/2064/2247/836/5499/8322/7291/2065/29102/3791/5500/84309/5603/6655/5058/3845/51384/6382	65
hsa04010	MAPK signaling pathway	Signal transduction	87/1607	4.72067877872908e-06	3.07885920651222e-06	56034/23162/2263/2260/284/3554/6196/7157/3643/9048/1649/11221/55970/5530/3815/1432/2768/7422/5801/5595/2122/8912/7040/6885/4208/2872/59285/6789/7423/5609/5923/2261/10000/4296/1942/5154/22808/4215/25780/9693/4915/6654/6300/5607/80310/784/6788/1846/5228/2323/1950/2064/2353/23118/4909/1945/2247/836/3551/255189/5921/3727/7048/2065/5599/782/1398/3553/3791/408/3315/5603/9252/8649/1435/9344/4294/6655/3164/1944/5881/1946/1386/5058/5606/6722/3845	87
hsa04360	Axon guidance	Development and regeneration	60/1607	5.01370300818146e-06	3.26997162675266e-06	2534/9423/22854/8503/4776/22885/659/5364/7474/5336/9901/5530/8440/5335/1949/7869/9723/10505/10398/64221/5595/7976/6714/54910/10501/29984/5727/1947/658/1942/54961/2049/2770/10500/5170/9353/55558/8633/5296/2932/2043/23654/5291/5290/1945/1020/5921/27289/9037/10154/5063/84612/23380/50855/1944/5881/84448/1946/5058/3845	60
hsa04933	AGE-RAGE signaling pathway in diabetic complications	Endocrine and metabolic disease	39/1607	5.33500102029064e-06	3.47952440273771e-06	2335/5054/8503/5330/51196/7056/1286/1285/5336/3576/1432/5335/7422/5595/5292/7040/1277/7423/10000/183/3383/1958/2152/5580/1284/6300/5296/1282/5291/5290/6774/836/7048/5599/3553/5603/2308/596/3845	39
hsa04722	Neurotrophin signaling pathway	Nervous system	43/1607	1.3850816664073e-05	9.03359800629665e-06	6272/8503/6196/7157/2309/4794/9500/5336/25970/1432/5335/2549/5595/5609/10782/10000/5170/4215/5580/4915/6654/7531/6300/5607/572/8767/5296/5664/2932/399694/5291/5290/4909/3551/10603/5599/1398/5603/9252/6655/596/10019/3845	43
hsa05418	Fluid shear stress and atherosclerosis	Cardiovascular disease	48/1607	2.03428047706836e-05	1.3267717353851e-05	652/8503/3554/7157/2817/659/4688/7056/6385/4318/5562/1432/9181/3690/7422/6714/7184/6885/4208/7850/9817/5609/658/5563/10000/3383/5154/93/657/6300/2950/5607/5296/5291/5290/2353/4258/3551/5599/3553/3791/2948/5603/4259/5881/596/2946/6382	48
hsa04152	AMPK signaling pathway	Signal transduction	43/1607	2.03428047706836e-05	1.3267717353851e-05	64764/8503/3953/8408/2309/3643/5106/6720/5562/5528/32/7249/148327/5522/5525/6885/8660/79966/5563/10000/5523/5571/5170/6199/5296/1374/5291/5290/3172/23216/81617/29904/9230/55437/126129/90993/31/6319/2308/5519/92579/6517/5207	43
hsa04820	Cytoskeleton in muscle cells	Cell motility	69/1607	2.19173689194522e-05	1.42946589342703e-05	2335/3696/7057/1462/1291/1292/1289/27063/3339/2273/752/29767/1286/1285/2192/6385/8572/8082/6641/84033/7060/481/83660/1298/375790/3690/5318/10398/3693/7137/1605/1277/23353/1832/79784/3678/7094/287/7138/161176/3695/284217/1284/91010/3676/1282/2200/171024/3728/57644/129446/4628/10529/7134/4635/476/7169/7058/25802/3691/7431/23002/4811/1465/7059/200539/478/6382/127294	69
hsa04015	Rap1 signaling pathway	Signal transduction	64/1607	2.87988927655413e-05	1.87828361734912e-05	7057/56034/2263/2260/8503/284/9223/5330/3643/51196/3815/1432/83660/10451/5335/2149/3690/7422/2778/5595/6714/64411/7423/2261/10000/7094/1942/5154/6494/2770/25865/57121/22808/25780/9693/6300/5217/80310/5296/5228/2357/5291/1950/5290/5898/9732/1945/2247/1398/84612/3791/5603/9170/50855/115/1435/107/10636/1944/23566/5881/1946/5606/3845	64
hsa04512	ECM-receptor interaction	Signaling molecules and interaction	34/1607	2.91786458469699e-05	1.90305137482133e-05	2335/3696/7057/3910/6696/1291/1292/3339/1286/1285/6385/7060/1298/3913/375790/3690/9900/3693/1605/1277/961/1101/3678/3695/284217/1284/3911/3676/1282/63923/7058/3691/7059/6382	34
hsa05215	Prostate cancer	Cancer: specific types	36/1607	4.0876265386287e-05	2.66597817626322e-05	56034/64764/2263/2260/8503/7157/4824/4318/7113/148327/6692/5595/7184/7850/10000/5154/5170/6654/2950/572/80310/6932/5296/2932/5291/1950/5290/2064/3551/1387/842/90993/6655/2308/596/3845	36
hsa04014	Ras signaling pathway	Signal transduction	69/1607	4.86638532645552e-05	3.173890020288e-05	56034/2263/2260/8503/284/5337/2793/3643/51196/5336/55970/57148/3815/5335/2549/7422/59345/5595/5338/22821/6789/7423/5923/2261/5869/10000/57186/1942/5154/22808/55770/25780/4915/6654/572/80310/5296/54331/5228/399694/2323/5291/1950/5290/81579/5898/4909/29110/1945/2247/3551/255189/5921/64600/5599/5063/4303/3791/1435/100271927/6655/1944/2787/5881/2783/2788/1946/5058/3845	69
hsa04148	Efferocytosis	Transport and catabolism	50/1607	6.1949605594529e-05	4.04039593593925e-05	558/5743/7057/100133941/1051/4035/2621/140885/5087/4776/55754/5467/5627/5031/64284/834/1432/102/23200/3690/6868/27072/2057/51454/29933/5595/3693/7040/3988/961/5869/6513/7376/24145/23339/4240/6300/55113/1846/1374/5777/682/1901/836/1398/126129/5732/5603/8754/811	50
hsa05161	Hepatitis B	Infectious disease: viral	50/1607	0.000191304561378317	0.000124770152271616	64764/8503/3339/7157/4776/3718/4318/3576/7097/1432/148327/637/5595/6714/7040/6885/6773/5609/10000/317/6654/6300/1388/572/5296/7529/5291/5290/6774/2353/23118/29110/836/3551/1387/7048/842/5599/8772/90993/1959/6778/5603/6655/843/596/3716/1386/5606/3845	50
hsa04550	Signaling pathways regulating pluripotency of stem cells	Cellular community - eukaryotes	44/1607	0.0006274005206045	0.000409194939875527	3625/652/8324/6926/2535/2263/2260/8503/3624/659/7474/3977/3718/1432/80712/5595/7976/6498/5080/3670/2261/658/1856/10000/93/657/6300/6932/5296/7483/2932/5291/5290/83729/6774/2247/8322/5603/84333/3716/8312/3845/51384/10336	44
hsa04668	TNF signaling pathway	Signal transduction	38/1607	0.0006274005206045	0.000409194939875527	5743/64764/1051/8503/3726/6372/257397/4318/1432/64285/148327/6868/5595/6885/11035/5609/10000/3383/6300/1388/5296/5291/5290/2353/3659/23118/836/3551/5599/8772/3553/90993/5603/9252/1435/843/1386/5606	38
hsa04072	Phospholipase D signaling pathway	Signal transduction	45/1607	0.0006274005206045	0.000409194939875527	2534/56034/56895/8503/1759/5330/5337/3643/56894/5336/3576/3815/7249/5335/2149/2549/2768/26052/2778/5595/5338/1785/10000/1609/183/5154/57121/22808/6654/80310/5296/399694/5291/1950/5290/9266/5898/255189/9170/10555/115/6655/107/23566/3845	45
hsa04141	Protein processing in endoplasmic reticulum	Folding, sorting and degradation	50/1607	0.0006274005206045	0.000409194939875527	4121/1649/10970/55741/6185/11231/9871/26270/5589/3300/51465/27248/80331/7184/7321/9601/7466/5609/578/1650/1388/10956/7494/9709/9695/22926/51360/80700/8720/23640/23190/57134/133022/5599/9451/5034/2081/3998/7991/10277/10130/7993/596/9532/22872/811/54431/6745/26232/10905	50
hsa04621	NOD-like receptor signaling pathway	Immune system	54/1607	0.0006274005206045	0.000409194939875527	23710/22861/9447/2634/5330/115361/10628/257397/140609/11337/3576/3709/834/1432/2635/84168/84674/5595/6885/3710/2633/6773/11035/114548/5586/10616/24145/5580/7531/6300/8767/9474/79671/23118/51393/29110/6041/114769/3551/91662/118429/22900/10392/64170/5599/8772/3553/115362/79792/5603/81631/837/596/3716	54
