Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04014	Ras signaling pathway	Signal transduction	93/2118	1.18357539966777e-07	6.64224022261604e-08	10125/3643/5900/1942/7422/3815/5337/2261/2260/5966/9771/56924/54331/5922/23179/7039/8844/1435/57186/83593/5058/29110/8437/123745/3551/6655/253959/5321/5880/64600/5869/5881/4909/283748/9610/2549/5290/255189/4303/4804/51365/80310/8398/25759/25780/1943/5879/59345/1969/6654/6237/5595/7423/100271927/4233/5293/1946/2323/5155/10156/10681/4763/1944/5923/1950/9965/10298/8822/2885/10235/55770/5868/5228/51196/53358/10000/5899/57148/399694/5599/2792/5970/7074/22808/5582/5291/5604/22821/4790/6464/2783/7424/8503	93
hsa04620	Toll-like receptor signaling pathway	Immune system	52/2118	1.30612771791186e-07	7.33000539401466e-08	3576/3553/3929/3455/4792/3569/9641/6773/6696/1326/5606/23643/10379/2353/7098/958/29110/3551/3665/5603/6300/7100/6772/3663/929/5608/5290/3716/5879/6373/5595/5293/5600/51135/54472/10333/3454/841/6885/10000/1432/1513/5599/7096/5970/5291/5604/4790/23118/8503/10454/7189	52
hsa05417	Lipid and atherosclerosis	Cardiovascular disease	86/2118	1.30612771791186e-07	7.33000539401466e-08	3576/6648/2919/3553/2921/3383/3929/6774/5330/2920/834/4792/3569/8743/9641/4217/4067/7494/8795/637/5606/1543/1649/7184/6714/2081/23643/2353/317/7410/958/7436/29110/6256/3309/3551/3665/5603/142678/7132/9451/3717/4780/6300/10010/842/929/1535/8797/5608/5290/5879/5452/5595/10451/5293/1559/6403/5451/355/5600/51135/27035/7157/10333/25833/841/4846/6885/840/4318/10000/4973/5747/1432/19/5599/23236/5970/7186/5291/4790/23118/8503/10454/7189	86
hsa05130	Pathogenic Escherichia coli infection	Infectious disease: bacterial	82/2118	1.30612771791186e-07	7.33000539401466e-08	3576/3553/9076/834/4792/3569/9069/9871/837/8743/9267/8795/6714/3554/4690/2353/9826/1366/9632/5777/5058/1902/3551/8976/5603/7132/10810/6300/7100/10802/2534/644150/842/57121/8797/79784/10972/2768/55971/1364/5879/10686/5595/7456/10092/578/347733/257397/355/5600/51135/10163/9181/4542/27128/841/3688/4651/23365/4641/2212/6885/840/7009/4643/1432/9266/653857/5599/10672/5970/7186/4646/8440/375/4790/3059/23118/64005/5861/10454/7189	82
hsa04072	Phospholipase D signaling pathway	Signal transduction	65/2118	1.33527993833214e-07	7.49360802643549e-08	3576/2185/3643/5330/1759/5900/3815/5337/112/9267/10555/10411/1606/23566/56894/7248/1902/123745/6655/2534/5321/1609/57121/283748/2549/5290/255189/2768/80310/25759/1785/6654/6237/5595/5293/5155/6850/1950/26052/27128/2885/8526/53358/10000/5899/8877/113/196883/9266/399694/23236/10672/10161/22808/5291/5604/5737/375/6464/1608/11069/1607/8394/2911/8503	65
hsa04144	Endocytosis	Transport and catabolism	96/2118	2.10962550666433e-07	1.18392452216867e-07	1759/5337/1601/116985/26286/2261/9267/10938/8853/868/4088/116986/6714/4193/118813/3105/10564/5371/64411/155382/8976/84612/51100/3106/57154/23096/11031/644150/8766/138429/57132/5869/9815/9922/55048/3561/55616/30846/84440/7251/89853/64744/23624/55738/9829/11059/26056/3107/1785/30844/10193/64145/7456/51160/10092/274/56904/28964/116984/137492/9744/30011/26052/79720/27128/9372/51510/83737/3560/5584/5662/55040/5868/10565/378/91782/9266/22905/23550/3133/653857/408/9146/8729/8411/254122/116983/375/112936/161/100526767/377/8394/27243/93343/7189	96
hsa05169	Epstein-Barr virus infection	Infectious disease: viral	81/2118	3.3171166642569e-07	1.86157009824822e-07	3383/4939/4938/9636/6774/3455/4792/4940/4791/7128/3569/9641/567/4067/6773/637/4794/5606/4193/10379/3105/3718/317/958/896/29110/3551/3665/2923/1026/29760/5603/6300/3106/6772/377841/3123/1027/842/5608/5290/3716/1647/3683/3107/7188/5879/3280/3516/5293/5971/578/6850/10018/355/5600/51135/7157/3454/841/6885/9612/10000/1643/9541/1432/960/3133/5599/5970/7186/5291/4790/811/23118/956/3117/8503/10454/5610/7189	81
hsa04380	Osteoclast differentiation	Development and regeneration	62/2118	3.3171166642569e-07	1.86157009824822e-07	3552/3553/9021/3455/4792/4791/140885/3726/6773/3554/10379/2353/3459/1435/8651/3551/29760/5603/7132/6300/3710/6772/2534/3727/1535/3460/5608/5290/488/3716/2355/5879/489/8878/5595/5293/5971/6850/5600/27035/3454/2885/2212/10326/6885/10000/1432/1513/487/5599/5970/7186/5291/5604/7040/4790/3709/23118/4982/8503/10454/7189	62
hsa04140	Autophagy - animal	Transport and catabolism	70/2118	3.691785238007e-07	2.07183457919398e-07	23710/58528/1612/54541/64798/4077/23130/5562/1514/664/10133/58476/8408/2081/1508/55062/29110/7248/89849/9110/1509/9451/8897/51100/10010/79065/23339/10241/9776/23604/5563/5290/11152/9821/55626/285973/56270/5580/26100/6237/8878/5595/203228/5293/53349/10533/11337/8417/23192/6885/9706/10000/3091/7405/55578/5728/55014/5599/81631/22808/3920/11345/5291/5604/64601/57617/5861/81671/8503/7189	70
hsa04071	Sphingolipid signaling pathway	Signal transduction	55/2118	3.691785238007e-07	2.07183457919398e-07	5522/5330/130367/5337/2770/4217/637/171546/81537/5603/7132/1509/79603/5526/6300/2534/5880/1901/5881/427/5290/2768/5879/5595/2776/5293/5525/91012/53637/5600/55304/7157/134/10715/6609/4846/5520/259230/10000/1432/8877/624/5728/29956/5599/23236/10672/5970/7186/5582/5291/5604/123099/4790/8503	55
hsa05135	Yersinia infection	Infectious disease: bacterial	60/2118	4.25716164627942e-07	2.38912453985042e-07	3576/3553/2185/3678/834/4792/3569/5606/6196/2335/6714/2353/7410/29110/3551/8976/5603/6300/644150/27330/5880/9815/5881/5608/5290/8935/5879/5595/10451/7456/2776/10092/5293/6197/5600/51135/10163/3688/23365/2212/6885/10000/5747/1432/925/3676/653857/5599/5970/7186/5291/5604/4790/1399/23118/8394/8874/8503/10454/7189	60
hsa05418	Fluid shear stress and atherosclerosis	Cardiovascular disease	61/2118	5.36399994783894e-07	3.01028360488459e-07	3552/3553/3383/445/7422/6385/4217/5562/1514/7184/6714/3554/2947/2353/5175/93/6382/59341/3551/5603/1906/7132/4780/6300/5880/5881/1535/5563/5608/5290/3685/5879/8878/5293/5155/5327/5600/27035/7157/9181/659/4846/3162/6885/4318/10000/6613/5747/1432/658/3674/5599/5970/4258/5291/90/4790/2941/1843/8503/2817	61
hsa05161	Hepatitis B	Infectious disease: viral	67/2118	8.98236291649811e-07	5.04091351297482e-07	3576/2185/6774/3339/4792/843/6776/3569/64764/9641/4776/6773/637/5606/4088/6714/64135/3718/2353/317/7098/29110/3551/3665/6655/1026/5603/3717/6300/6772/842/6778/5608/5290/673/3716/6654/4214/5595/5293/355/5600/51135/7157/3454/841/2885/6885/4318/10000/1643/1432/5599/1959/5970/5582/537/5291/5604/6777/7040/4790/148327/23118/8503/10454/7189	67
