Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04931	Insulin resistance	Endocrine and metabolic disease	39/1635	7.4504007326559e-05	4.57858517796316e-05	9586/5602/5601/27330/5465/9021/6774/5295/79660/183/2998/3643/2673/10000/57761/5564/7132/5563/5106/10891/92579/3569/7376/376497/5581/6514/51085/148327/2308/4846/8503/8473/5291/5562/32/5599/1374/5290/5970	39
hsa04151	PI3K-Akt signaling pathway	Signal transduction	97/1635	8.31522492236684e-05	5.11005608250107e-05	6696/3696/2260/2261/9586/5522/596/2250/7039/10110/5523/1282/5879/118788/2065/5649/5934/3913/7057/5295/9223/2247/7059/2998/3643/896/10000/6850/80310/6256/3912/56034/23035/7058/7248/54541/2786/1942/4254/2792/5563/1943/2323/2263/5106/1287/3718/3480/3716/3676/1284/3845/92579/2783/5595/2057/3694/5155/3455/3569/1101/55970/3691/572/10018/2264/6654/9863/468/3566/148327/4846/6655/8503/5578/5154/5526/9470/5291/5562/5518/5618/1027/4902/3574/3265/4170/6794/3693/5290/5747/3695/9180/2785/29941/28227/5970	97
hsa04910	Insulin signaling pathway	Endocrine system	46/1635	8.35123382334781e-05	5.13218506941362e-05	5602/5601/9021/5295/79660/3632/2998/3643/10000/7248/31/2319/5564/3636/5563/5106/868/2889/10891/3845/92579/5595/5575/80201/25759/23265/572/6654/2308/6655/2872/8503/10580/5257/9470/399694/5291/5562/32/5599/5573/89801/3265/5290/23433/10603	46
hsa04360	Axon guidance	Development and regeneration	56/1635	0.000176960569828908	0.000108749726514875	57556/5364/4756/5879/285220/59277/9037/5295/2534/2770/57522/10507/6469/4776/658/23654/9723/1942/55558/23365/56288/54961/1943/6714/659/5365/8440/3845/90249/5595/10501/7869/84448/6586/5727/5058/85464/22885/25/8503/5578/4636/5291/54361/7220/84612/10627/23380/818/3265/10500/5290/5747/3983/7852/9901	56
hsa04146	Peroxisome	Transport and catabolism	31/1635	0.000217615248493009	0.000133733739566741	6648/23600/847/3418/215/25824/5264/55825/6342/55711/3155/51/373156/1384/83594/5190/51555/6647/2182/30/1891/8800/2053/51703/5194/5193/10005/5827/1962/5825/23417	31
hsa04530	Tight junction	Cellular community - eukaryotes	52/1635	0.000281052794977091	0.000172718784865751	653857/5522/9075/9076/5602/27134/5879/3993/5601/4217/9223/776/4214/7846/9414/1080/91862/5564/56288/5563/6714/4478/154796/1364/1739/912/1741/137075/7408/8531/79784/5581/23327/92359/5872/2017/8777/100132463/5562/140465/5599/154810/10686/5518/9181/84612/79778/10627/51421/51762/6794/9693	52
hsa04722	Neurotrophin signaling pathway	Nervous system	40/1635	0.000281052794977091	0.000172718784865751	596/5602/5879/2549/5601/27330/4217/5295/4214/10000/8767/5600/25970/4794/9261/2889/3845/5595/25759/10019/6300/572/6654/468/5664/6655/25/1432/8503/399694/5291/5599/9500/818/5607/3265/10782/5290/10603/5970	40
hsa04625	C-type lectin receptor signaling pathway	Immune system	36/1635	0.000350576379359487	0.000215443956892657	5602/5601/3709/5295/3659/834/10000/4776/6850/5600/602/23365/4772/9261/6714/868/6773/3845/5595/1540/3569/3710/6300/5058/64170/9020/22808/1432/8503/5291/5599/8844/3265/5290/3708/5970	36
hsa05165	Human papillomavirus infection	Infectious disease: viral	87/1635	0.000507945006150508	0.00031215360889079	6696/3696/9586/5522/7098/5523/1282/3993/5649/3955/5934/3913/7057/5295/3659/9223/7059/535/4851/9794/896/10000/3912/10312/7058/7248/2778/8322/7132/56288/2535/50617/5986/8321/1287/8324/3716/1739/10474/3676/6773/1284/3845/5595/3694/6934/1857/1741/3455/1101/4242/3691/92359/572/6654/51606/148327/7482/2308/528/6655/8503/10297/8717/9550/5526/5291/4853/54361/3280/5518/84612/54626/1027/3106/8323/529/9296/90423/57801/3265/3693/5290/5747/3695/28227/5970	87
hsa04072	Phospholipase D signaling pathway	Signal transduction	46/1635	0.000547447232880041	0.000336429391669511	1759/5737/112/10555/2549/23236/5295/56894/2534/183/1785/3643/10000/6850/80310/56034/7248/2778/5900/4254/56895/1606/3845/5595/5155/25759/9266/6654/22808/8877/6655/8503/5578/10411/5154/5898/399694/5291/1609/23396/27128/9265/3265/56848/5290/10554	46
hsa04350	TGF-beta signaling pathway	Signal transduction	36/1635	0.000580456518343557	0.00035671498845573	3400/3399/4756/653/25805/3398/3077/3397/91/7057/6498/652/4092/5308/4093/658/7050/90/659/650/93/5595/9372/4086/268/4091/6667/92/8646/5518/7018/657/4089/3547/83729/7036	36
hsa04142	Lysosome	Transport and catabolism	42/1635	0.000580456518343557	0.00035671498845573	20/8722/535/1509/138050/23312/427/6448/10312/1657/175/950/50617/1174/55353/9741/285362/3425/6609/2720/1513/9516/2799/26088/5641/1777/9179/164/1514/9583/135112/51606/1075/10053/5476/3073/4891/410/4126/4864/1520/2588	42
hsa04144	Endocytosis	Transport and catabolism	69/1635	0.000580456518343557	0.00035671498845573	2261/653857/1601/1759/11059/55616/26056/84440/56904/1785/55040/26286/89853/155382/56288/23550/116984/23624/9815/2352/2263/118813/6714/57132/5869/3480/868/9829/80230/6642/9372/23096/9266/9798/23327/51160/116986/2348/2264/80223/161/408/8766/5371/3310/5119/100526767/9922/7251/55680/116985/116983/23396/27128/830/84612/10564/3106/9265/5868/116987/3265/5867/8723/274/644150/7852/2870/93343	69
hsa04510	Focal adhesion	Cellular community - eukaryotes	58/1635	0.000597257496560228	0.000367039897490618	6696/3696/10451/596/330/5602/1282/5879/5601/5649/83660/3913/7057/5295/2534/7059/896/10000/80310/3912/56034/7058/1287/6714/3480/3676/2889/1284/5595/3694/5155/329/25759/1101/7408/3691/7410/572/5058/6654/1793/6655/8503/5578/5154/4636/399694/5291/23396/5599/10627/29780/3265/3693/340156/5290/5747/3695	58
hsa04015	Rap1 signaling pathway	Signal transduction	60/1635	0.000597257496560228	0.000367039897490618	10451/2260/2261/112/2250/5879/3397/5909/10636/83660/7057/23236/5295/9223/2247/2776/2770/6494/3643/9771/10000/9732/80310/56034/5600/2778/5900/1942/56288/4254/25865/1943/2263/6714/3480/2889/3845/5595/5155/5217/7408/6300/7410/25780/2264/9863/22808/5587/1432/8503/5578/10411/5154/5898/5291/84612/5608/3265/5290/9693	60
hsa05225	Hepatocellular carcinoma	Cancer: specific types	50/1635	0.00083293381098513	0.00051187292308791	7039/2939/2549/2938/5295/3162/6604/10000/8322/2948/1728/2535/8321/8324/4780/4616/3480/4259/3845/6595/5595/6934/1857/23401/10023/25759/2950/572/2947/6654/4040/7482/4258/6655/6601/8503/5578/10297/399694/5291/54361/7296/55274/8323/4257/4089/114112/3265/5290/6603	50
hsa04668	TNF signaling pathway	Signal transduction	38/1635	0.000875546498482557	0.000538060215069901	9586/3726/330/5602/5601/4217/9021/5295/1051/3659/6374/10000/153090/5600/602/7132/64285/5595/329/1540/3569/6300/468/840/9020/148327/257397/1432/8503/8717/5291/2921/83786/5599/843/5608/5290/5970	38
hsa04917	Prolactin signaling pathway	Endocrine system	26/1635	0.000932143683797528	0.000572841570207182	5602/5601/9021/6774/5295/3659/10000/5600/6714/3845/5595/25759/6300/6514/6654/6655/1432/8503/399694/5291/5599/5618/30837/3265/5290/5970	26
hsa04810	Regulation of actin cytoskeleton	Cell motility	63/1635	0.00129725639652342	0.000797218716451873	3696/10451/2260/2261/653857/26999/2250/5879/5295/2247/221178/10000/80310/56034/23365/54961/2263/6714/4478/3676/89846/3845/5595/3694/5155/5217/10788/79784/55970/3691/7410/85477/5058/2264/6654/85464/3827/2245/10152/22808/1793/6655/8503/10297/6548/23191/5154/4636/5291/23396/10627/3265/128239/10787/3693/340156/5290/5747/3695/3687/200576/7852/733	63
hsa04933	AGE-RAGE signaling pathway in diabetic complications	Endocrine and metabolic disease	33/1635	0.00135431461944406	0.000832283398623974	596/5602/1282/5879/5601/6774/23236/5295/183/10000/5600/4772/1287/1284/3845/5595/5292/3569/6300/5581/2308/4846/1432/8503/5578/5291/5599/1027/4089/3265/113026/5290/5970	33
hsa04152	AMPK signaling pathway	Signal transduction	38/1635	0.00135431461944406	0.000832283398623974	9586/5522/5523/8408/5295/2998/3643/10000/3953/5209/1080/7248/31/5564/5563/5106/55437/3480/10891/92579/81617/79966/148327/2308/8503/5526/5291/5562/32/5518/1374/6794/5290/5207/23216/51552/28227/23417	38
hsa04935	Growth hormone synthesis, secretion and action	Endocrine system	38/1635	0.00135431461944406	0.000832283398623974	9586/112/3726/5602/5601/9021/6774/3709/23236/5295/2776/2770/776/4214/10000/5600/2778/3845/5595/25759/3710/6300/6654/468/148327/6655/1432/8503/5578/55811/399694/5291/5599/5608/3265/5290/5747/3708	38
