Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04550	Signaling pathways regulating pluripotency of stem cells	Cellular community - eukaryotes	55/1635	6.20130013741418e-07	3.81096023047662e-07	2260/2261/3400/3399/3398/5080/3397/91/6774/5295/2247/6498/652/84333/10000/4093/658/5600/9869/8322/2535/8321/2263/8324/3718/90/659/3480/3716/3845/93/5595/1749/4086/1857/3670/6300/2264/92/7482/1432/8503/10297/5460/5291/54361/5462/8323/657/4089/3265/5978/5290/83729/55183	55
hsa04140	Autophagy - animal	Transport and catabolism	61/1635	6.20130013741418e-07	3.81096023047662e-07	23710/1612/596/8878/4077/5602/8408/5601/5295/81631/10133/1509/10000/23130/10010/27072/7248/54541/26100/8417/11345/5563/23001/58476/11152/89849/3480/9821/10241/3845/23339/5595/64798/9776/1514/55014/5289/8887/572/3476/8897/53349/23192/22808/10325/8503/81671/5291/5562/5599/8678/55062/55626/64121/3265/6794/58528/5290/3708/203228/2081	61
hsa05418	Fluid shear stress and atherosclerosis	Cardiovascular disease	53/1635	1.16716684389508e-06	7.17273204949212e-07	596/445/2939/8878/5602/5879/5601/4217/2938/5295/1535/3162/652/10000/658/5600/7132/2948/1728/5563/3554/6714/4780/90/659/4259/93/4208/5155/1514/2950/6300/2947/92/4258/7295/4846/1432/8503/1843/5154/5291/5562/5599/9181/657/4257/5607/6383/5608/5290/5747/5970	53
hsa04210	Apoptosis	Cell growth and death	51/1635	1.75808205563311e-06	1.08041550118007e-06	8743/596/330/5602/5601/5783/4217/3709/637/8722/5295/1649/1509/10000/7846/153090/8739/7132/4616/1513/3845/823/5595/10039/329/1514/3710/572/10018/468/840/9020/55367/8503/1075/6709/8717/1616/5291/5599/143/843/27113/839/3265/4170/5290/3708/1520/2081/5970	51
hsa04148	Efferocytosis	Transport and catabolism	56/1635	1.75808205563311e-06	1.08041550118007e-06	26762/140885/100133941/5031/558/5087/5879/4035/7057/23200/1051/91937/64284/834/102/80824/23250/4776/6256/246/84868/27072/5600/51454/4772/8398/9261/961/5627/5869/23339/338440/10326/5595/2057/7376/196527/6300/9392/840/8877/1793/1432/405/1374/5868/818/286410/5777/56848/8754/3693/5747/7301/487/51552	56
hsa01521	EGFR tyrosine kinase inhibitor resistance	Drug resistance: antineoplastic	34/1635	7.01557119652001e-06	4.31136410616685e-06	2261/596/558/7039/2549/2065/6774/5295/2247/10000/80310/56034/2263/6714/3480/3716/3845/5595/5155/25759/3569/572/10018/6654/6655/8503/5578/5154/9470/399694/5291/4763/3265/5290	34
hsa04071	Sphingolipid signaling pathway	Signal transduction	45/1635	9.63026854409201e-06	5.91820579831636e-06	55304/5522/596/5523/5602/81537/5879/5601/4217/29956/637/23236/5295/2534/2776/2770/1509/10000/427/5600/7132/6609/3845/5595/79603/6300/5581/3827/8877/4846/1432/8503/5578/8717/5526/5291/5599/5518/3265/56848/8879/5290/10558/28227/5970	45
hsa04068	FoxO signaling pathway	Signal transduction	47/1635	1.97516381072913e-05	1.21382138657525e-05	23710/8743/604/6648/10110/5602/847/5601/5934/6774/5295/3643/901/10000/5600/5564/11345/4303/5563/5106/4616/26260/3480/3845/92579/5595/51701/3569/6300/116986/10018/6654/2308/6655/1432/8503/5896/5291/5562/5599/1027/4089/3265/6794/5290/1454/85417	47
hsa04150	mTOR signaling pathway	Signal transduction	53/1635	2.22424277797491e-05	1.36689090706094e-05	8408/27330/83667/5295/3643/10000/54468/7248/54541/8322/7132/10542/2535/5563/8321/8324/55437/3480/3845/5595/81617/64798/6520/1857/6654/4040/51606/7482/10325/528/6655/8503/5578/28956/9550/9470/5291/5562/79726/54361/64121/8323/529/9296/90423/8140/3265/6794/58528/5290/8649/253260/51256	53
hsa04010	MAPK signaling pathway	Signal transduction	86/1635	2.28498081002167e-05	1.40421698699233e-05	2260/2261/2250/7039/5602/5879/3556/2065/59285/5601/27330/4217/8912/2247/784/3315/776/1649/3643/4214/80824/10000/80310/56034/6788/5600/7132/23542/1942/4772/4254/1943/3727/2323/2263/9261/7786/3554/4296/10125/4616/3480/23162/3845/5595/51701/4208/5155/4294/6300/55970/994/5058/25780/2264/408/6654/468/9020/3310/22808/6655/2872/1432/1843/5578/8717/5154/9175/1616/5599/5495/11221/4902/57551/4763/5607/9254/5608/3265/1845/8649/9693/785/8911/5970	86
hsa04137	Mitophagy - animal	Transport and catabolism	39/1635	3.22310512036966e-05	1.98073390421257e-05	23710/8878/4077/5602/8408/5601/221960/81631/54543/10133/64786/51622/10370/11345/79671/23770/6714/5869/10241/3845/8887/84749/267/468/22879/1457/6667/22808/7942/7030/5599/8678/55626/23786/55288/5868/3265/25820/5970	39
hsa05208	Chemical carcinogenesis - reactive oxygen species	Cancer: overview	68/1635	5.26478460876642e-05	3.23543197739829e-05	8644/2939/6648/5602/5879/847/5601/1545/4217/2938/5295/1535/3162/10000/4697/5600/2948/1728/25865/10861/6714/4780/5795/4259/3845/1645/5595/6647/1646/6300/572/4694/2053/2947/6654/4702/9020/4258/6655/25/5587/1432/8503/4717/4701/5291/196/10327/7388/5599/1337/56901/405/1329/1571/293/9167/4257/1327/3265/5290/1347/5747/1340/4711/4729/6391/5970	68
hsa04932	Non-alcoholic fatty liver disease	Endocrine and metabolic disease	51/1635	7.36859610660509e-05	4.5283127883609e-05	5602/5879/5601/5465/4217/9021/637/5295/7494/1649/3643/10000/3953/6256/4697/5600/5564/7132/5563/1050/4296/3569/6300/10018/4694/4702/468/51085/840/1432/8503/4717/4701/5291/5562/7388/5599/1337/56901/1329/1571/9167/1327/5290/1347/1340/2081/4711/4729/6391/5970	51
