logCPM	PValue	FDR	log2FoldChange
BCAT1	7.39182444465115	1.14980973402284e-210	5.24773162608025e-207	3.6543
LUM	4.22695754419131	1.74107980209648e-172	5.29752547784555e-169	8.6679
ALDH1L2	4.63973973698332	1.9591672718255e-154	5.1095082449209e-151	4.2853
SPARC	4.15761773785169	4.58101371823636e-147	8.36309864401229e-144	5.8838
FN1	8.49768692757657	1.59257596249724e-142	2.64309697921359e-139	2.558
PLAC8	4.16404486333453	2.66446625438684e-134	4.05354132834052e-131	9.4936
LPCAT2	4.07176983345133	1.77646289144991e-130	2.02694415914434e-127	4.9438
KLK6	5.91793730911185	3.85820303114117e-130	4.14325614920665e-127	2.9204
MME	3.63815006809747	1.01454357397128e-127	1.02897263813443e-124	8.9268
AXL	4.96445808450801	6.63412148403709e-124	6.37434325329375e-121	3.3574
STS	6.68634421229772	1.35088048532012e-123	1.23308370700021e-120	2.7673
DSE	4.98510763552981	4.59511102882868e-122	3.9946831877284e-119	3.1651
KRT81	3.88115718255485	9.09752514696362e-122	7.54929177649854e-119	5.9341
NNMT	5.65935790238004	2.22857128309282e-119	1.76890423235403e-116	2.8383
WFDC2	4.24572309993876	2.73061798884664e-118	2.07709008351601e-115	5.7045
ITGB8	4.75901084585627	1.40074748076233e-110	9.83540231107581e-108	3.5651
DFNA5	4.14474252130792	6.01111435323178e-102	3.91924655830712e-99	3.6158
INHBB	4.93189530645887	7.60704351754447e-100	4.78876505021696e-97	2.6259
PLAGL1	3.54479336918704	1.09730374365571e-99	6.67745904805952e-97	5.1208
GTSF1	3.25457424132919	7.0607763941564e-99	4.15811399521675e-96	8.5171
PXDN	3.63061307109619	7.85183841087225e-99	4.47947381340262e-96	5.2108
ALPP	4.22906053218661	1.7668033119379e-98	9.77417007961768e-96	3.663
FAM83B	3.48234030640814	4.2076328441201e-96	2.19470129149305e-93	5.0542
PTGS2	4.79825461169564	7.76937225548009e-90	3.73256999726433e-87	3.151
NMU	3.5166201243744	3.72602410827684e-89	1.74416143899236e-86	4.5268
PROM2	6.28302101029239	1.51741741568996e-87	6.59570770019904e-85	2.1266
LOC400655	3.20749034084121	2.68622842287997e-87	1.14046014158365e-84	6.333
SH3PXD2A	5.0930072650685	4.05688958093166e-87	1.68324036794292e-84	2.3399
ZNF655	4.42631732578996	6.68353237977851e-87	2.71143482500525e-84	2.798
MAN1A1	3.71059064497423	2.15356766108043e-86	8.50849156831436e-84	4.4867
CDH2	3.33859399591421	2.19050779859101e-86	8.50849156831436e-84	5.811
ZNF114	4.11701510030607	5.6804042723764e-83	2.07402920793007e-80	3.2014
SLC16A9	4.26132926919236	5.95447202964854e-83	2.13146747790713e-80	2.8713
BHLHE41	4.06231938979464	2.29282091021323e-82	8.04956510324092e-80	3.1175
SLC2A12	4.09883045021159	1.92563016969807e-80	6.39169170509237e-78	3.2153
DSC3	4.57244274387925	2.69581775275545e-78	8.78836587398278e-76	2.9374
NYAP2	3.54164198678624	3.58572599292229e-78	1.14843883731209e-75	4.0901
CPS1	3.07517363773926	4.91719158790721e-78	1.54772844187645e-75	6.1856
THBS1	7.20484062642576	6.91470676179633e-78	2.13957434988735e-75	1.8969
ADGRL2	3.07304336049066	1.71830637566105e-77	5.22823353234467e-75	5.926
EDIL3	7.71472955959137	6.52457298559438e-77	1.95266564631166e-74	1.9961
LRRC6	5.84570250191002	2.6623450099362e-76	7.8393178228057e-74	1.9913
SOX9	4.85937345642187	7.92945873523506e-73	2.2618781042258e-70	2.3317
FAM129A	3.20536901829808	1.33637217612421e-72	3.75335545343439e-70	4.404
AFAP1L2	4.28187688486042	8.14545923860489e-72	2.25308339181774e-69	2.7046
SPTLC3	3.27057326926153	4.86144296739671e-71	1.32463437034021e-68	4.5505
VCAN	7.51166891326918	1.11132934008428e-70	2.98359241655568e-68	1.852
BMP4	3.38490677597117	1.24785511663459e-70	3.30157145062046e-68	4.3247
