logCPM	PValue	FDR	log2FoldChange
GALNT5	5.71414000476257	8.22237733427392e-317	1.66786356240534e-313	-11.0953
LANCL2	8.24388374716492	2.95385659117267e-315	5.39256059284483e-312	-5.3288
KRT16P1	6.87149285692319	5.59233721369516e-261	5.67187267628994e-258	-5.6618
EGFR	10.35360732945	1.67377310742404e-259	1.60823167627017e-256	-4.5092
VOPP1	9.25163439797475	8.46395677733097e-244	6.43824978862309e-241	-4.462
TRPC6	5.36198763706009	3.05634812875145e-242	2.23186765753946e-239	-13.0691
PEG10	8.04047881228843	2.94561824665904e-236	1.79250689036692e-233	-4.0275
SEC61G	11.1330547273195	4.37093375589896e-234	2.49361770774036e-231	-5.148
IGFBP3	6.99844288560963	6.41561740430574e-233	3.4448091568531e-230	-4.4135
TNC	8.32560997221288	2.56736461273281e-232	1.33913738200144e-229	-3.9389
NT5E	7.13627226481224	2.71654188848714e-202	1.15332997014468e-199	-3.8734
IFITM3	5.21215002111426	2.07998206342716e-168	6.54692285343556e-166	-5.9713
KCNQ3	5.48443367737868	7.00843860015871e-167	2.16857720482199e-164	-4.1747
LCP1	7.8262942690856	1.25453306477943e-164	3.75455010337923e-162	-3.1235
FAM83A	4.74638321571754	9.51348238469845e-163	2.80126023250089e-160	-5.8202
DNAH2	4.31471400586528	1.74073140060691e-162	5.04425276975868e-160	-7.3572
COL17A1	6.01971979218868	2.78442215700926e-159	7.82037090744015e-157	-4.0113
DUSP6	5.17702664364708	7.93507095502278e-154	2.06946650506994e-151	-4.5859
NKX2-1	5.83418506346452	1.88381496902242e-150	4.52512185190439e-148	-4.6955
LAMC2	8.30932324064901	2.19037428970666e-147	5.06170544720061e-145	-2.914
PLAU	7.14262860838655	2.22064804670033e-146	5.06751884257015e-144	-3.0572
CELF2	3.95243771053542	4.48072908662835e-136	9.40232071327439e-134	-9.3216
CNTN1	3.92788028699931	1.23635183000335e-135	2.56486806915241e-133	-9.2961
FUT8	5.57929085846147	2.40694129331757e-131	4.77620872291365e-129	-3.1676
MRPS17	7.27723604003275	7.47587924771906e-129	1.43662791101431e-126	-2.9223
FGFBP1	4.43233763532377	1.09074926710522e-123	2.01138571921949e-121	-4.6364
AGR2	4.4543592304523	3.56451728998698e-122	6.44295323227746e-120	-4.5932
SLAMF7	3.83354784215456	5.42662691179765e-122	9.71259812762529e-120	-6.8685
INSIG1	6.58846986486051	6.79471760086281e-122	1.2043142186539e-119	-2.9426
TRIM55	4.18455777271642	1.03689072418953e-115	1.75272935748185e-113	-5.3676
SCEL	6.50903483462354	9.64921094896207e-115	1.58699094670497e-112	-2.8257
STEAP1	4.25528560972335	7.22497621481129e-114	1.17767112301424e-111	-4.6372
POLA1	6.31098383327962	3.10909139580993e-112	4.97890987034263e-110	-2.8379
CCT6A	10.5559115107604	1.21593569148667e-111	1.93027147685049e-109	-2.8959
SEMA3A	5.61498141237205	1.28356250427049e-111	2.0200618170657e-109	-2.8006
F3	8.02141037006169	1.73900234593832e-109	2.64560223562084e-107	-2.4416
AMIGO2	6.92157786842157	6.28214699972854e-109	9.40056357598723e-107	-2.637
