Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism	23/2024	5.4910604879366e-09	4.32669506046723e-09	1743/3419/4191/1431/1737/5162/6392/6390/2271/6389/50/3421/48/3417/5091/8802/8801/3420/5160/1738/47/8803/5106	23
hsa05208	Chemical carcinogenesis - reactive oxygen species	Cancer: overview	88/2024	5.50006532797382e-08	4.33379044704965e-08	5603/8503/79852/2353/55967/5580/7388/1537/4715/10105/292/25/207/5605/7384/5894/65010/7416/7422/847/4702/4706/9377/4725/9817/10327/5747/29796/5587/4708/4217/4716/6392/4726/440567/1347/6390/3725/4722/6389/4713/4701/9446/1345/115019/27089/4712/6300/374291/4705/1571/873/4711/7419/5609/25865/2885/1349/1350/291/5728/7381/7386/4258/4717/1109/4724/8517/4695/8644/4729/4710/1329/4694/6648/7385/3162/5770/4720/4718/1728/5601/1337/1327/1147/4704/10975/4709	88
hsa05415	Diabetic cardiomyopathy	Cardiovascular disease	81/2024	7.96477303865859e-08	6.27586314880613e-08	5603/8503/7048/3643/55967/5580/7388/1509/1537/4715/10105/292/3667/207/7384/6513/5165/5880/7416/1376/5162/4702/4706/9377/4725/29796/9882/2936/4708/4716/6392/2597/4726/440567/1347/6390/4722/6389/51660/4713/5166/4701/5501/9945/1345/27089/4712/6300/374291/4705/4711/4689/7419/1349/1350/291/5728/7381/7386/4717/4724/4695/4729/5331/4710/1329/4694/2673/5160/7385/4720/6517/4718/7043/4313/5601/1337/1327/4704/10975/4709	81
hsa05171	Coronavirus disease - COVID-19	Infectious disease: viral	90/2024	1.32014155220235e-07	1.04020888962704e-07	6850/718/200916/5603/7187/3654/6161/8503/6152/2353/6159/3921/6202/11224/9045/6165/6130/6230/6132/1839/6138/6144/6227/25873/6234/6207/6209/6231/6156/6168/7311/7099/4615/6142/6147/3725/6137/6125/6154/6181/6136/6167/6223/6171/6300/6224/6157/6143/9636/6170/6233/6164/6122/7097/6189/4938/6210/6208/6155/6175/6229/6169/6217/6134/6201/6206/51121/4736/3553/6128/6232/7132/6124/8517/6176/4793/6129/6160/6204/6194/6141/6228/3661/9641/6135/6191/9349/6133/5601/1147	90
hsa01232	Nucleotide metabolism	Global and overview maps	42/2024	2.62962141436638e-07	2.07201687350439e-07	9615/4907/3615/3614/955/4830/79077/205/1841/4860/203/3251/7498/1503/51727/2987/54963/6241/353/204/83549/8833/1854/158/10201/7083/51251/50808/7084/6240/1716/284958/115024/84284/3704/271/4831/124583/7371/56953/377841/954	42
hsa00190	Oxidative phosphorylation	Energy metabolism	56/2024	6.26831500507907e-06	4.93913473171731e-06	55967/533/7388/1537/4715/5464/7384/4702/4706/9377/4725/29796/4708/4716/6392/54205/4726/440567/27068/1347/6390/4722/6389/4713/10063/4701/9550/1345/27089/4712/374291/4705/4711/90423/1349/1350/527/7381/7386/4717/4724/4695/4729/4710/1329/9296/4694/7385/528/4720/4718/1337/1327/4704/10975/4709	56
hsa04141	Protein processing in endoplasmic reticulum	Folding, sorting and degradation	65/2024	1.12915459880674e-05	8.8972023453284e-06	3320/10808/3312/23480/6396/3337/79139/9695/5887/201595/3326/10952/9532/51726/29979/6238/824/5886/6746/10134/22824/4217/7184/581/10273/80331/746/9978/6185/55968/6184/578/3301/468/7322/7415/6748/10113/56893/11253/7841/9373/5609/3309/200185/3703/56681/29927/58505/51128/7494/10961/3310/10525/51619/596/10960/54788/8454/64215/6745/5601/5034/9601/23640	65
hsa01240	Biosynthesis of cofactors	Global and overview maps	60/2024	1.12915459880674e-05	8.8972023453284e-06	8942/7358/211/4830/205/1371/2356/3145/29968/203/57026/51117/5805/224/124454/9054/51805/6697/10327/1503/80308/51727/55163/219/7389/204/25902/2937/158/29925/10201/10797/55312/6472/6470/79001/54995/79717/5373/7390/23475/7372/93100/50808/790/1723/195814/27235/5372/1738/80347/4831/80025/60490/1728/4144/65220/125061/29926/10229	60
hsa03030	DNA replication	Replication and repair	21/2024	3.07115265245759e-05	2.41992253418471e-05	79621/4176/54107/2237/4172/5984/5982/5111/5985/10535/6742/5557/56655/5983/4173/5558/246243/4174/4171/6118/5425	21
hsa03013	Nucleocytoplasmic transport	Translation	45/2024	3.07115265245759e-05	2.41992253418471e-05	10189/23511/23225/79023/6396/2733/4927/5905/9670/80145/5976/6613/3838/55110/4116/29107/30000/79711/1434/22916/4686/23214/5901/7329/3840/79902/9939/402569/8021/9775/59343/57510/10921/55161/84321/5411/23165/9688/9631/8480/25909/3837/64328/10073/4928	45
