logCPM	PValue	FDR	log2FoldChange
COL5A1	6.09866516974893	8.72905388055961e-20	6.723949689599e-18	0.8991
GPR176	3.62011541153705	9.62140845319299e-20	7.34930680843059e-18	1.5452
LCP1	9.05077096447689	9.86414491055294e-20	7.47219209489853e-18	0.8192
IL27RA	3.76298045641047	1.63051426963742e-19	1.210027175061e-17	1.2883
NOG	4.30626299911603	1.76011763294295e-19	1.28530830028026e-17	1.0877
FLI1	2.84942747401588	1.92777166506404e-19	1.40212747081311e-17	1.6174
PROCR	3.88087932192283	2.20091715772062e-19	1.59444220759316e-17	1.2296
FAM196B	1.58311920364022	2.40024176879876e-19	1.73196892218143e-17	2.7495
SLC7A2	3.66658621742617	6.55132644416096e-19	4.56492425819093e-17	1.247
GAL	4.24669255376656	6.93288020055409e-19	4.79419170232256e-17	1.0999
NEK3	1.71023811456617	7.57397046376716e-19	5.21775112402012e-17	2.634
DDX21	8.93800593922214	8.59426664843131e-19	5.87628958553415e-17	0.8564
PAK1IP1	6.2689848928924	1.00619356408602e-18	6.82865044831017e-17	0.8327
UBASH3B	7.4738923484401	1.09837793674525e-18	7.42666207897087e-17	0.7936
SLIT2	4.05102583634852	1.13181328924452e-18	7.62449572267454e-17	1.1256
CD83	3.54809036745019	2.46270061444537e-18	1.62307084539042e-16	1.3276
TOP1	7.92262998088127	2.47632778466664e-18	1.62618129629044e-16	0.8058
NUAK1	4.77928105601718	2.82593045399472e-18	1.84250665600456e-16	0.9945
TMEM2	7.10476524420575	3.19984828822111e-18	2.06418481801289e-16	0.7751
AMOTL1	6.91982765849311	3.45392054879445e-18	2.22023850488702e-16	0.7876
GYG2	1.91452120092122	3.69582225653037e-18	2.35912346556708e-16	2.1898
PRKAR2B	3.68116156018601	1.54698752961294e-17	9.41393478020461e-16	1.3646
GRIN2D	2.77926279471135	1.58002249866166e-17	9.58302017792933e-16	1.6016
OGFRL1	6.16213097240058	1.87678608044762e-17	1.13077909850336e-15	0.8641
TAF4B	3.08340194862282	2.3311778132971e-17	1.39078373070431e-15	1.4629
ZNHIT6	5.96991473335834	2.83266542083119e-17	1.67899804943812e-15	0.8167
WWC2	6.22396764227163	3.80431008234311e-17	2.19783179947012e-15	0.834
ZNF121	4.6741897090014	3.84789515879014e-17	2.21599918040608e-15	0.954
AFAP1L1	5.08106422421011	5.63085998489865e-17	3.19245279143819e-15	0.8836
ANXA6	4.81696322683428	1.66400039192704e-16	9.12251986637239e-15	0.9058
TUBB6	6.36855437971088	2.61995265380997e-16	1.41928355038442e-14	0.7816
LNPEP	4.11337767505528	3.22425382343742e-16	1.73634152804347e-14	1.0357
SLAIN1	2.16639661853488	4.21214180010226e-16	2.23537385763566e-14	2.015
KLHL5	7.41699240048237	4.29768878948622e-16	2.27416250843074e-14	0.7676
ARHGAP22	2.94488805277089	6.04986005481845e-16	3.1556070045933e-14	1.3813
DEGS1	5.53907332272082	6.22386644645716e-16	3.21877920245105e-14	0.809
XAGE2	0.298021285886093	6.54569490934687e-16	3.37565554421007e-14	4.6657
SNX18	4.46320194163904	9.78091114182941e-16	4.96152639736382e-14	0.9733
CACNG8	3.76351362909332	1.15041193881224e-15	5.79646077732122e-14	1.6416
TMEM156	4.73868887304404	1.26936864956909e-15	6.36637199630037e-14	1.0261
COL4A1	5.07442508927728	1.40553308112823e-15	7.01076828663303e-14	1.0349
ABL2	5.81941824040119	1.51831221438417e-15	7.51173652731637e-14	0.7721
FGD6	5.43262825378738	1.71538928996252e-15	8.46382348042048e-14	0.7983
PDP2	5.29259400067669	1.79208936146792e-15	8.81843217869498e-14	0.8038
SRGN	6.63352466527965	2.0885791706601e-15	1.02222791795096e-13	0.7844
JPH1	2.57184354192998	2.49457506025818e-15	1.21119580585301e-13	1.6245
CCDC88A	5.23511494199189	5.71191512803527e-15	2.70146949682414e-13	0.8015
ERBB2IP	8.17996007868076	5.78952957649748e-15	2.73110211753328e-13	0.6905
FGFR1	3.43924121473414	6.25078994190197e-15	2.93353267813271e-13	1.2006
AFAP1	6.96182109771685	6.46255084921132e-15	3.02513662315902e-13	0.7349
IGF2BP1	6.20862837177807	7.58895498445031e-15	3.51634421817576e-13	0.7626
CCBE1	3.34373495339656	8.34112923001496e-15	3.8453448288675e-13	1.2285
KIAA0226L	0.0473232585684962	8.41880981620629e-15	3.87138015125093e-13	5.7984
GFPT2	4.83456482213551	9.4851743956885e-15	4.35078753185149e-13	0.8939
EFNB3	1.24733986986615	9.77219296398604e-15	4.47120688597817e-13	2.4628
MYCBP2	6.77262618776028	1.02884477484891e-14	4.69564755241043e-13	0.7425
WDR3	6.6182982082521	1.03741310433529e-14	4.72294604307858e-13	0.7046
DLC1	3.40008774361057	1.0759396547639e-14	4.86282618405384e-13	1.3545
PPARGC1B	3.30147205670814	1.38255172181146e-14	6.14108618817273e-13	1.2069
TOX2	3.95061622444755	1.55246761861602e-14	6.86243313449251e-13	0.9929
FAT1	7.52951012959251	1.66707068338482e-14	7.35121797001771e-13	0.752
SLC7A1	7.06299884937188	1.70011466739574e-14	7.47886587180162e-13	0.7088
RASAL2	6.73278680212854	1.94326632017075e-14	8.52794950505703e-13	0.7366
BAMBI	3.28830347740978	2.44317405047647e-14	1.06196632060711e-12	1.2455
CHD1	6.78164482273537	2.57902208034121e-14	1.11306447041865e-12	0.6948
MBNL2	6.44649323410337	2.61202133497603e-14	1.12200144685464e-12	0.7198
NUFIP1	4.69204615873445	2.78019092672739e-14	1.18864556342706e-12	0.8437
LRP6	6.76267631120432	3.01307442125457e-14	1.28220714765556e-12	0.7286
SUPT20H	5.55346227033169	3.12037731258244e-14	1.3217078472971e-12	0.7753
HS6ST2	5.98008847410727	3.75092753593247e-14	1.5741823700226e-12	0.8304
NUP153	7.76346539159134	3.82908399858875e-14	1.60301198836503e-12	0.6784
CDCA7	6.76431539739681	3.95741541849846e-14	1.64946520274219e-12	0.7558
PTAR1	6.63090721244325	4.19898960119776e-14	1.74616752071677e-12	0.7974
MSI2	4.19171627652273	4.28156575455079e-14	1.77646055488817e-12	0.9352
MIR100HG	3.92119637606984	4.46070287122729e-14	1.84241157504809e-12	1.0539
ZSCAN12	6.02194442509622	4.55477088879567e-14	1.87701799877774e-12	0.7236
MICAL2	5.55829767400551	4.59856541176326e-14	1.89079752606194e-12	0.772
PRR5L	2.36576175701528	5.04702287298289e-14	2.06588451948824e-12	1.6305
CCDC144B	4.40669992691457	5.57601675381918e-14	2.27731010867389e-12	0.8928
ERC1	6.28790616341176	6.95723324257058e-14	2.8224722239193e-12	0.7042
PROSER2	5.88260765986881	7.32368210159136e-14	2.95798983289053e-12	0.7546
TXLNG	6.37630530871681	7.92250596813225e-14	3.19278739413294e-12	0.706
NUFIP2	7.94886163208238	8.88794638617851e-14	3.54275871672653e-12	0.6661
ZBTB18	6.05663572854755	9.18952550444893e-14	3.65498861893725e-12	0.7417
CUL4A	7.46376356825708	9.68809722931575e-14	3.81999790536476e-12	0.6606
DCBLD2	7.94483549429185	1.02352882820117e-13	4.01839619089045e-12	0.7173
KIAA0754	4.78499729985406	1.31790432861649e-13	5.12999177467433e-12	0.8066
TP53I11	0.76145870490593	1.33579252188428e-13	5.16657378803378e-12	3.1405
NFAT5	6.34717940453564	1.44516367921902e-13	5.57778184520559e-12	0.6941
MTCL1	5.15903507929029	1.51866392934608e-13	5.84909888062069e-12	0.7596
PROSER1	6.03355583956093	1.66331777805036e-13	6.33935894699112e-12	0.79
PRTG	4.53692158659032	1.72088281094212e-13	6.54509095761654e-12	0.896
DNMBP	5.21618143557398	2.00829301651949e-13	7.59076548852585e-12	0.8091
NFKB2	4.37760478553907	2.13890990404167e-13	8.0677560347489e-12	1.066
RAP2A	5.66017582422338	2.40573140510632e-13	8.99980174828298e-12	0.7164
DIS3	6.0176549297534	2.52491408969831e-13	9.4263459348737e-12	0.7231
ATP13A3	8.93284402061137	3.57384411868366e-13	1.32073073341476e-11	0.7463
FAT3	2.79904508500035	3.69134203636816e-13	1.36139677203913e-11	1.3428
Mar-04	5.84418492692616	3.87352826388542e-13	1.4228396777765e-11	0.7888
GJC1	6.38804816182432	4.12800492004674e-13	1.51023763167081e-11	0.6889
KIF2A	6.59598993262435	4.36881585075812e-13	1.59195812717446e-11	0.7076
MSI1	1.10170564118495	4.83079297885543e-13	1.74290428106689e-11	2.4216
SERPINE1	6.40062837745555	5.06373316562045e-13	1.81261789552092e-11	0.6737
RNF169	5.87756901656617	7.40965176748543e-13	2.62661364402357e-11	0.7409
BEND7	1.8222356051034	7.67198755003682e-13	2.71433730064868e-11	1.8887
GXYLT1	5.36576068857975	8.10023345997187e-13	2.84928443247103e-11	0.7212
DOCK10	5.62145253770793	9.35148676531933e-13	3.2705123062772e-11	0.709
MB21D2	3.73878359058542	9.39698304153313e-13	3.28014000776728e-11	0.9562
HSPH1	8.82323822052953	9.98994640040371e-13	3.48046682224752e-11	0.6405
KANK4	2.98684014676196	1.06960042488280e-12	3.71935721079247e-11	1.239
KMT2A	7.22671115911603	1.08009742882082e-12	3.74871837653096e-11	0.6522
SEMA6B	2.99148491676604	1.32595063770717e-12	4.55010429360565e-11	1.3409
BTAF1	5.73409037752066	1.365353681141e-12	4.66777093687456e-11	0.7448
FERMT2	4.54181398151353	1.45320133291428e-12	4.95881187545479e-11	0.832
FOXN2	4.48460406462515	1.69641599573182e-12	5.73514267001482e-11	0.853
HIP1	6.22400565531189	1.70322510016732e-12	5.74751893320787e-11	0.684
CHD7	4.8354942703163	2.06035176924391e-12	6.86382881374394e-11	0.7772
LEF1	2.41519737088424	2.12726780764918e-12	7.07384355126476e-11	1.4743
PRKD3	6.07761882421354	2.19483505081346e-12	7.2588602695019e-11	0.6731
ZC3H12C	5.08849107755897	2.22746000591354e-12	7.34016423609344e-11	0.7763
CLINT1	7.8469124013044	2.37518735743177e-12	7.81286854004944e-11	0.7227
CPM	2.28845074401153	2.50857100580042e-12	8.23677559026844e-11	1.5208
NUPL1	6.49037976427473	2.87138755311979e-12	9.34403764166753e-11	0.7172
TJP1	4.09064698262969	2.97627120857213e-12	9.65094266140191e-11	0.9736
RIF1	7.19338739136786	3.05515244390802e-12	9.88916010921716e-11	0.6824
PUS7L	5.03941916029425	3.1475924141514e-12	1.01523758149731e-10	0.8095
ELL2	5.8471996626591	3.95921827192182e-12	1.26584043383896e-10	0.668
LOC100506178	3.03941842965969	4.01342584976886e-12	1.28092836212203e-10	1.2132
SPG20	6.58878427693626	4.20164809093258e-12	1.33632905136002e-10	0.6663
TAOK1	7.19030771163469	4.21076095220871e-12	1.33689829466995e-10	0.7654
ITGAM	0.582840238534916	5.41892536257439e-12	1.7056534727441e-10	2.8003
NOC3L	5.70712088895235	6.61760023854335e-12	2.07070676349866e-10	0.7209
CDK8	4.98776239003884	6.71092003069285e-12	2.09426591590305e-10	0.722
ADRBK2	2.12187576435051	7.03403594764847e-12	2.19135427065308e-10	2.0272
HIVEP3	4.27300791112681	7.30875243953505e-12	2.27305936177431e-10	0.901
ICAM1	4.14328361172944	9.08591866903613e-12	2.80664181424575e-10	0.8584
PDS5B	6.1429526839499	9.4302060460941e-12	2.89828016123727e-10	0.6488
UBLCP1	5.99512625556345	9.88522294965513e-12	3.03301899443536e-10	0.6777
ZNF678	3.79640463762718	1.07311042236708e-11	3.28425210667257e-10	0.8959
SFRP1	6.30789823037622	1.07580124878955e-11	3.28425210667257e-10	0.6681
LRCH1	4.16354031252536	1.0931495306744e-11	3.33164237595858e-10	0.8331
GPSM1	2.4600187930789	1.09556432178519e-11	3.33343704308506e-10	1.3391
DUSP5	4.19849433371796	1.20380255157682e-11	3.64454716112545e-10	0.8286
SCML2	2.19395181531257	1.22839133665928e-11	3.70669623835568e-10	1.5007
PXDN	7.41471511558308	1.24463135396983e-11	3.74950330001208e-10	0.618
DLG1	7.96159742386383	1.25308721990515e-11	3.76875787258459e-10	0.6274
H2AFY2	0.973702765081184	1.30924936849986e-11	3.93119349857457e-10	2.4145
KISS1	2.21105641026549	1.36318706491613e-11	4.08642743138076e-10	1.8962
ITSN2	5.22226780040577	1.40076108381887e-11	4.17166302548078e-10	0.6978
SLC16A7	3.42100058568145	1.43163865516989e-11	4.24975533150918e-10	1.1143
PIK3C2A	7.08687066241797	1.55448383745006e-11	4.59201568551591e-10	0.6495
KPNA3	6.87039503557498	1.7258438836685e-11	5.07359193884898e-10	0.6086
U2SURP	8.0934099828039	1.9564389344148e-11	5.72383801068534e-10	0.6673
NAA15	7.39770206015882	2.02614749064327e-11	5.91829577426935e-10	0.6019
STMN3	4.92591499779505	2.22157358727533e-11	6.46842861392319e-10	0.8612
CDK6	7.19278445526668	2.26833357569321e-11	6.59406015252471e-10	0.6131
TEX15	3.98635636692141	2.28922031627561e-11	6.63365176094088e-10	0.9305
GAN	3.55342600767704	2.3047406634691e-11	6.66804208435687e-10	0.9855
Aug-02	7.1428749141805	2.44875551333051e-11	7.0623192182246e-10	0.6543
LONRF3	3.55327702997187	2.48337119912087e-11	7.13959442695286e-10	0.9494
FRMD4A	4.96545065810314	2.76997980412568e-11	7.90136739126851e-10	0.7187
WAPAL	6.23893956020677	3.75122933544002e-11	1.0584612480339e-09	0.6245
ZC3H13	7.55135707564675	4.61626259874292e-11	1.29189717406154e-09	0.7987
CBL	6.25559994413192	4.62099504087524e-11	1.29189717406154e-09	0.7171
ELOVL2	2.36411140093883	4.87714162112203e-11	1.36142350818354e-09	1.3405
SLC8A1	4.50500750101635	5.41426929579914e-11	1.49761970097135e-09	0.7661
NUAK2	3.43334816740764	5.62830880347824e-11	1.55446906983811e-09	0.9966
ACSL4	7.45324966102844	6.41038292978908e-11	1.76246913804562e-09	0.6354
RSF1	7.1009396291309	6.56387061922456e-11	1.80195521841449e-09	0.6117
INHBA	5.39874192135033	6.89500385305329e-11	1.88435913684642e-09	0.8411
S100A9	2.27299943923164	8.31925946041319e-11	2.25335906096889e-09	1.6045
COL12A1	5.8705874370683	9.32626015598673e-11	2.52237341344731e-09	0.7251
UTP20	6.37553259377481	9.45152368962314e-11	2.55247065795503e-09	0.6199
HDAC9	3.97876230029081	9.53885385784456e-11	2.57224986748612e-09	0.8441
FKBP5	5.20331008856483	1.02410692866713e-10	2.75753629642288e-09	0.7439
POP1	5.94532966718526	1.02641613874887e-10	2.75968380397634e-09	0.6216
BEX2	0.82256125292086	1.09352636525456e-10	2.93148565698785e-09	2.3731
KDM6A	4.36569266295934	1.09695356680693e-10	2.93636133660224e-09	0.7646
PROS1	0.596120256379167	1.12686958715668e-10	3.00762151800182e-09	2.5813
NBN	7.08795397347057	1.19000289061458e-10	3.15765883300289e-09	0.6192
RAP1GAP2	4.66841662774091	1.20502196181193e-10	3.19287096296641e-09	0.7368
CD44	9.98671021911695	1.2740149637767e-10	3.3707850983634e-09	0.6108
NKX2-5	2.4533836128938	1.28809680895971e-10	3.40311075895346e-09	1.4156
BMP6	0.0863620925151585	1.36461443225105e-10	3.59486307001085e-09	4.416
