GENE	104307-001-001R	104307-001-072	104307-001-040	104307-001-081	104307-001-033	104307-001-049	104307-001-089	104307-001-009	104307-001-065	104307-001-017	104307-001-025	104307-001-057
ENSG00000005108.15	322	92	502	157	564	51	52	432	317	459	198	37
ENSG00000005156.11	238	219	155	231	258	97	158	247	180	226	203	49
ENSG00000005175.9	178	473	287	132	262	287	209	155	261	232	471	217
ENSG00000005187.11	186	645	1032	886	1030	805	643	273	1209	894	612	780
ENSG00000005189.19	39	26	16	37	14	29	17	18	38	42	36	11
ENSG00000005194.14	450	619	302	339	494	227	557	319	397	375	403	210
ENSG00000005206.16	943	272	400	966	410	275	763	598	401	802	438	240
ENSG00000005238.19	217	146	227	183	125	170	132	434	99	211	361	269
ENSG00000005243.9	204	100	163	363	163	280	266	167	217	261	178	303
ENSG00000005249.12	80	14	106	70	139	33	55	150	68	74	77	10
ENSG00000005302.18	440	405	253	209	354	202	308	483	291	308	572	170
ENSG00000005339.14	1021	1036	1760	1105	1418	1173	839	1718	1013	1264	2001	1437
ENSG00000005379.16	139	25	237	388	286	80	191	411	252	380	362	26
ENSG00000005381.7	9	0	7	14	0	0	30	5	3	2	7	0
ENSG00000005421.8	2560	2393	5206	4406	3897	4122	4002	1256	4919	4869	1861	3893
ENSG00000005436.13	337	262	356	384	294	181	385	286	336	508	354	112
ENSG00000005448.16	149	38	41	31	58	5	8	61	42	29	21	0
ENSG00000005469.11	104	88	177	193	296	211	168	201	451	287	66	180
ENSG00000005471.17	5346	4614	2294	2359	2822	4426	3536	2912	5460	9025	2021	4056
ENSG00000005483.20	1605	1167	3139	1102	1887	949	1169	4268	1457	1716	3740	1025
ENSG00000005486.16	1376	1129	1218	1008	1212	786	1174	1327	1093	1456	1360	711
ENSG00000005513.9	12	19	40	14	22	20	0	63	18	36	126	8
ENSG00000005700.14	885	2032	979	552	862	1801	464	693	1312	956	890	1596
ENSG00000005801.17	185	320	297	217	191	97	217	256	236	236	483	83
ENSG00000005810.17	1190	881	1134	845	995	644	784	1378	847	833	1535	490
ENSG00000005812.10	148	528	802	464	587	426	420	702	532	542	796	423
ENSG00000005844.17	716	343	276	369	377	143	227	341	517	503	320	49
ENSG00000005882.11	324	85	405	538	479	509	184	332	739	698	252	260
ENSG00000005884.17	747	1618	1316	476	1016	157	192	1715	453	571	3646	316
ENSG00000005889.15	306	298	445	233	368	266	275	376	367	405	505	348
ENSG00000005893.15	2533	3078	4577	1530	4365	1958	1774	2939	3267	4333	4540	2139
ENSG00000005961.18	17	0	5	19	25	0	18	22	12	13	30	4
ENSG00000005981.12	40	7	22	26	16	30	24	24	40	14	0	5
ENSG00000006007.11	658	744	645	700	413	550	657	576	536	481	1252	552
ENSG00000006015.17	1241	249	288	634	385	480	556	574	416	543	388	346
ENSG00000006016.10	26	39	6	95	4	12	7	67	12	15	172	1
ENSG00000006025.11	115	28	21	68	127	5	67	68	63	74	82	0
ENSG00000006042.11	174	125	245	258	450	122	130	347	351	309	216	60
ENSG00000006047.12	26	3	23	87	13	2	27	0	18	26	13	12
ENSG00000006059.3	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000006062.15	550	629	696	565	878	498	411	715	841	672	1052	194
ENSG00000006071.13	0	0	1	20	0	3	0	29	1	3	12	0
ENSG00000006116.3	26	0	0	3	0	8	1	0	0	0	8	16
ENSG00000006118.14	312	335	137	47	165	23	45	628	65	358	807	39
ENSG00000006125.17	505	457	724	241	561	234	54	591	427	457	777	200
ENSG00000006128.11	0	0	9	3	43	2	0	0	3	54	14	0
ENSG00000006194.9	456	776	791	268	578	661	611	992	586	488	1132	683
ENSG00000006210.6	308	796	1787	399	1247	741	175	1877	766	840	1629	359
ENSG00000006282.20	1339	532	664	623	693	466	355	998	754	1192	639	410
ENSG00000006283.17	2	9	15	0	0	8	0	0	1	7	48	0
ENSG00000006327.13	1124	2664	1132	88	1125	3308	954	1453	1315	959	2268	2990
ENSG00000006377.10	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432.15	116	227	436	110	181	165	185	341	106	216	194	164
ENSG00000006451.7	412	535	574	228	412	322	370	801	401	418	1263	473
ENSG00000006453.13	1253	2114	1959	869	969	1527	1393	1595	1075	1576	2245	2418
ENSG00000006459.10	408	512	531	298	408	242	307	557	451	573	626	281
ENSG00000006468.13	110	29	111	176	122	135	80	120	158	202	149	92
ENSG00000006530.16	238	224	168	249	197	66	153	405	187	273	87	30
ENSG00000006534.15	275	9	86	250	280	11	40	278	162	127	76	5
ENSG00000006555.10	170	699	90	104	155	318	108	102	121	113	106	64
ENSG00000006576.16	232	108	247	137	219	144	97	371	224	331	317	126
ENSG00000006606.8	8	0	2	3	15	0	0	0	1	0	14	8
ENSG00000006607.13	740	420	937	757	738	341	510	1120	667	958	1034	186
ENSG00000006611.15	72	23	238	209	409	2	37	184	84	97	266	28
ENSG00000006625.17	29	19	12	24	21	60	62	36	30	35	70	71
ENSG00000006634.7	119	101	125	89	108	68	91	286	67	103	222	61
ENSG00000006638.11	174	76	340	130	169	50	111	409	150	61	270	23
ENSG00000006652.13	598	1129	1230	463	964	510	921	1360	647	1109	1629	349
ENSG00000006659.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.10	162	172	233	118	161	109	138	186	179	144	240	111
ENSG00000006704.10	294	95	442	340	238	108	226	513	145	185	709	86
ENSG00000006712.14	1231	1066	1300	953	1031	1577	1150	1252	1147	1045	1745	1566
ENSG00000006715.15	577	353	692	445	1193	253	286	738	696	835	765	263
ENSG00000006740.16	138	88	159	159	203	47	53	252	76	81	121	30
ENSG00000006744.18	719	854	777	791	620	839	847	886	707	823	857	881
ENSG00000006747.14	87	4	14	7	20	5	0	35	25	9	25	19
ENSG00000006756.15	1448	410	920	1337	1084	933	807	650	968	1785	373	725
ENSG00000006757.11	126	85	200	157	105	88	122	112	165	169	80	100
ENSG00000006788.13	4	0	0	0	0	2	0	12	0	0	0	0
ENSG00000006831.9	1385	2657	2393	1826	1655	3858	3747	1706	2652	2864	2321	4933
ENSG00000006837.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007001.12	722	8	85	148	81	62	18	596	223	147	17	24
ENSG00000007038.10	17	15	2	14	43	6	8	2	0	0	0	0
ENSG00000007047.14	1063	1018	941	658	627	515	519	1204	397	617	1385	404
ENSG00000007062.11	54	103	500	132	656	19	52	346	162	216	596	7
ENSG00000007080.10	1246	1133	565	742	485	629	981	957	488	604	964	640
ENSG00000007129.17	36	6	32	23	15	13	1	102	41	28	63	0
ENSG00000007168.12	984	1413	1869	855	1620	1078	907	2446	1385	1394	2129	1048
ENSG00000007171.17	24	228	22	3	16	5	0	17	3	9	44	0
ENSG00000007174.17	12	6	8	5	29	36	0	28	4	4	26	4
ENSG00000007202.14	872	1713	1210	1296	978	1157	1460	1583	934	904	2398	774
ENSG00000007216.14	0	6	16	44	29	15	1	33	21	12	0	16
ENSG00000007237.18	406	154	428	151	177	154	36	754	196	223	594	66
ENSG00000007255.10	379	137	174	534	186	424	351	236	277	300	145	299
ENSG00000007264.14	272	85	86	15	65	50	71	208	77	51	185	42
ENSG00000007306.14	0	0	0	5	0	1	0	0	0	0	18	0
ENSG00000007312.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314.12	29	0	14	44	50	10	4	71	7	38	7	0
ENSG00000007341.18	282	217	188	177	277	205	181	175	221	257	210	85
ENSG00000007350.16	0	0	8	0	0	7	0	0	7	7	3	5
ENSG00000007372.22	11	0	1	0	6	4	0	0	0	0	0	0
ENSG00000007376.7	251	244	172	201	51	183	323	314	121	148	483	209
ENSG00000007384.15	268	161	567	168	286	133	144	475	260	439	615	118
ENSG00000007392.16	1463	926	796	1068	628	944	1323	1457	725	1119	1652	820
ENSG00000007402.11	26	0	28	1	54	13	5	28	8	20	47	0
ENSG00000007516.13	155	112	192	238	208	231	243	91	282	234	168	105
ENSG00000007520.3	579	558	289	517	390	373	774	466	343	474	421	390
ENSG00000007541.16	728	315	208	653	350	371	590	612	412	736	379	367
ENSG00000007545.15	11	12	23	14	11	14	7	17	13	18	36	6
ENSG00000007866.20	422	379	565	388	404	361	378	717	295	471	895	242
ENSG00000007908.15	448	1651	1231	182	658	29	200	9063	236	399	11643	23
ENSG00000007923.15	973	938	585	735	545	470	880	538	588	705	956	397
ENSG00000007933.12	3263	2242	4198	6809	3937	3981	3320	1632	6151	7946	3011	3947
ENSG00000007944.14	287	241	840	182	362	128	148	526	205	188	757	67
ENSG00000007952.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968.6	18	9	1	9	13	3	0	0	8	6	5	0
ENSG00000008018.8	1693	1875	1468	1249	1181	1330	1787	1977	1500	1611	1654	1302
ENSG00000008056.13	41	211	44	0	9	48	12	65	39	20	188	8
ENSG00000008083.13	350	350	606	234	459	164	206	846	265	301	793	98
ENSG00000008086.11	95	46	153	133	261	53	37	162	152	209	211	26
ENSG00000008118.9	19	18	5	0	18	0	0	0	8	19	3	0
ENSG00000008128.22	1	0	0	0	0	3	1	0	3	1	0	1
ENSG00000008130.15	1893	1467	1184	2742	1022	1770	2662	1426	1158	1551	1649	1207
ENSG00000008196.12	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000008197.4	3	0	2	0	0	3	0	0	0	0	0	0
ENSG00000008226.19	13	1	5	21	5	11	2	0	6	18	0	5
ENSG00000008256.15	379	193	514	223	486	155	123	496	349	342	701	151
ENSG00000008277.14	53	7	9	2	59	58	3	111	28	22	58	4
ENSG00000008282.8	750	945	1007	357	890	618	456	974	770	1098	1208	556
ENSG00000008283.15	343	326	294	450	546	163	296	615	279	193	405	202
ENSG00000008294.20	950	823	2702	852	1614	832	659	2299	1099	1337	3114	1212
ENSG00000008300.16	49	5	83	9	14	28	21	116	21	39	61	24
ENSG00000008311.14	2002	274	1433	2101	810	343	431	1824	687	1298	432	270
ENSG00000008323.15	41	56	136	132	70	59	49	91	85	58	135	31
ENSG00000008324.11	175	151	139	165	38	185	202	198	151	123	78	110
ENSG00000008382.15	394	180	221	384	283	383	282	127	333	339	68	311
ENSG00000008394.12	6466	6734	7245	9338	7471	10211	12513	4536	8184	8938	3830	10486
ENSG00000008405.11	374	453	1246	270	643	654	229	1116	386	493	1274	678
ENSG00000008438.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441.16	500	629	1046	756	1051	629	508	1249	757	632	1443	536
ENSG00000008513.15	3525	3197	5300	3163	2323	2955	2619	5355	2838	2970	5234	1973
ENSG00000008516.16	63	47	6	31	11	15	1	1	30	37	24	1
ENSG00000008517.16	16378	15551	4117	2193	2877	5108	5369	6740	3009	4239	3702	4435
ENSG00000008710.19	1224	1141	953	1173	750	576	1714	1332	699	1099	1741	258
ENSG00000008735.13	22	34	33	7	30	9	44	10	16	20	22	36
ENSG00000008838.19	701	656	530	715	432	378	654	468	368	661	751	302
ENSG00000008853.16	176	120	144	122	131	17	49	231	122	89	228	17
ENSG00000008869.11	673	185	332	420	559	159	285	330	417	606	404	115
ENSG00000008952.16	4975	4504	4729	4835	4817	3730	6234	4313	4853	4991	5127	3992
ENSG00000008988.9	7838	5001	4888	4961	5247	4166	6858	8345	4623	5260	7066	4299
ENSG00000009307.15	2390	6012	7082	3547	6769	3694	3964	6354	4845	4415	8044	3447
ENSG00000009335.17	718	1227	1490	799	927	868	869	1204	831	885	1550	786
ENSG00000009413.15	915	471	889	744	502	328	418	937	502	740	1009	356
ENSG00000009694.13	938	116	412	786	351	463	310	586	671	1624	307	231
ENSG00000009709.11	0	0	0	5	0	4	0	0	0	0	0	0
ENSG00000009724.16	4796	1548	2159	2998	1818	2115	2695	1564	2078	2832	1134	1749
ENSG00000009765.14	218	209	390	499	297	389	351	47	530	468	99	373
ENSG00000009780.15	131	93	72	109	141	48	159	148	148	143	86	28
ENSG00000009790.14	195	168	29	28	130	41	78	10	163	198	131	18
ENSG00000009830.11	336	356	284	270	146	238	309	260	160	322	477	211
ENSG00000009844.15	375	604	533	445	566	424	431	438	479	422	724	479
ENSG00000009950.15	8141	1976	3396	12941	3335	3061	12775	4539	4428	9287	1869	1290
ENSG00000009954.10	1797	1353	2131	1183	1334	1402	2109	1726	1457	1371	2979	1621
ENSG00000010017.12	610	499	844	471	614	437	316	968	559	878	1023	332
ENSG00000010030.13	58	320	62	49	57	214	93	14	80	59	99	169
ENSG00000010072.15	106	89	75	67	105	51	73	130	70	88	160	62
ENSG00000010165.19	296	513	259	290	330	326	492	202	274	351	465	282
ENSG00000010219.13	45	9	6	8	33	0	8	49	2	9	0	0
ENSG00000010244.18	1137	1119	1335	685	960	714	807	1568	889	1193	1977	598
ENSG00000010256.10	3906	2657	2487	3357	2530	3374	3711	1911	3018	3258	2268	3011
ENSG00000010270.13	158	210	296	67	362	71	104	371	166	191	363	46
ENSG00000010278.13	587	766	1542	440	1551	799	508	1621	671	841	2158	745
ENSG00000010282.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292.12	234	237	121	341	319	61	171	134	181	235	168	94
ENSG00000010295.19	741	164	161	437	199	78	237	400	214	356	370	10
ENSG00000010310.8	76	34	13	16	88	1	40	170	21	55	113	0
